japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
なる(naru),to become,"Meaning 意味 to become
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun になる な-adjective い-adjective + い く なる",jlpt_n5,"大きくなっているね！
ookiku natteiru ne!
You're getting bigger!","今日は暑くなるようだ。
kyou wa atsuku naru you da.
It looks like it will get hot today.","今年、私は２０歳になります。
kotoshi, watashi wa hatachi ni narimasu.
This year I will turn 20 years old (become an adult in Japan).","暗くなる前に家に帰りたい。
kuraku naru mae ni ie ni kaeritai.
I want to head home before it gets dark.","もっと強くなるために、毎日運動しています。
motto tsuyoku naru tame ni, mainichi undou shiteimasu.
I work out every day so I can get stronger."
んです(ndesu),to explain something; show emphasis,"Meaning 意味 to explain something; show emphasis
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Verb (casual) んです んだ Noun + な (only with questions) な-adjective + な い-adjective",jlpt_n5,"何を飲みたいんですか。
nani o nomitai ndesu ka.
What would you like to drink?","お茶を飲みたいんです。
ocha o nomitai ndesu.
I'd like to drink some tea.","眠くないんですか。
nemuku nai ndesu ka.
Aren't you sleepy?","気分が良くないんですよ。
kibun ga yokunai ndesu yo.
I do not feel well.","今からバイトに行くんだ。
ima kara baito ni iku nda.
I'm heading to my (part time) job now."
ね(ne),isn't it? right? eh?,"Meaning 意味 isn't it? right? eh?
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 end of sentence particle",jlpt_n5,"かわいいね。
kawaii ne.
It's cute, isn't it? / You're cute, eh.","そうですね。
sou desu ne.
Yeah, that's right. / Is that so?","今日の天気はいいですね。
kyou no tenki wa ii desu ne.
Today's weather is nice, isn't it?","またあとでね！
mata ato de ne!
See you later!","またメールするね。
mata meeru suru ne.
I'll message you later, ok?"
に行く(ni iku),go to do ~,"Meaning 意味 go to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb ます (stem form) に行く に行った Related Kanji 漢字 N5 Kanji: 行 (kou, iku) going, line",jlpt_n5,"友だちの家に遊びに行く。
tomodachi no ie ni asobi ni iku.
I'm going to my friends house to hang out.","日本に勉強しに行くつもりなのです。
nihon ni benkyou shini iku tsumori nano desu.
I'm planning to go to Japan to study!","東京へ何しに行くの？
toukyou e nani shi ni iku no?
What are you going to Tokyo for?","私たちは公園にサッカーをしに行くつもりだ。
watashi tachi wa kouen ni sakkaa o shini iku tsumori da.
We're planning to go to the park to play soccer.","メキシコへ友だちに会いに行きます。
mekishiko e tomodachi ni ai ni ikimasu.
I'm going to Mexico to visit my friend."
にする(ni suru),to decide on,"Meaning 意味 to decide on
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun にする にします",jlpt_n5,"どれにする?
dore ni suru?
Which will you have? / Which do you want?","飲み物は何にする？
nomimono wa nani ni suru?
What will you have to drink?","お茶にする。
ocha ni suru.
I'll have tea.","私は明日と来週の火曜日を休みにする。
watashi wa ashita to raishuu no kayoubi o yasumi ni suru.
I'm taking work off tomorrow and next Tuesday.","これにします。
kore ni shimasu.
I want this / I've decided on this"
の(no),possessive particle,"Meaning 意味 possessive particle
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Noun の + [B]",jlpt_n5,"あなたの名前は何ですか？
anata no namae wa nan desu ka?
What is your name?","あなたの犬ですか？
anata no inu desu ka?
Is this your dog?","これはだれのカバンですか？
kore wa dare no kaban desu ka?
Who's bag is this?","私の先生はとてもいい先生だ。
watashi no sensei wa totemo ii sensei da.
My teacher is a very good teacher.","彼氏の好きな料理はカレーです。
kareshi no suki na ryori wa karee desu.
My boyfriend's favorite food is curry."
のです(no desu),to explain something; show emphasis,"Meaning 意味 to explain something; show emphasis
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Verb (casual) のです のだ Noun + な (only with questions) な-adjective + な い-adjective",jlpt_n5,"どこへ行きたいのですか。
doko e ikitai no desu ka.
Where would you like to go?","あなたが悪いのだ。
anata ga warui no da.
You are the one at fault.","どう違うのだ。
dou chigau no da.
What's the difference?","何を言いたいのですか。
nani o iitai no desu ka.
What exactly do you want to say?","あなたは優しいのですね。
anata wa yasashii no desu ne.
You're a pretty nice person."
のが上手(no ga jouzu),to be good at,"Meaning 意味 to be good at
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (dictionary form) のが上手 のがじょうず Related Kanji 漢字 N5 Kanji: 上 (ue, kami, jou) above, up N4 Kanji: 手 (shu, te) hand",jlpt_n5,"あなたは教えるのが上手です。
anata wa oshieru no ga jouzu desu.
You're good at teaching.","彼は歌うのが上手だ。
kare wa utau no ga jouzu da.
He's good at singing.","彼女はピアノを弾くのが上手。
kanojo wa piano o hiku no ga jouzu.
She's good at playing piano.","あなたはお箸を使うのが上手ですね。
anata wa ohashi o tsukau no ga jouzu desu ne.
You're very good at using chopsticks.","私はそんなに日本語を話すのが上手ではない。
watashi wa sonnnani nihongo o hanasu no ga jouzu dewa nai.
I'm not very good at speaking Japanese."
のが好き(no ga suki),to like doing something,"Meaning 意味 to like doing something
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (dictionary form) のが好き のがすき Related Kanji 漢字 N3 Kanji: 好 (kou, konomu) fond",jlpt_n5,"私は寝るのが好きです。
watashi wa neru no ga suki desu.
I like to sleep. / I like sleeping.","漫画を読むのが好きだ。
manga o yomu no ga suki da.
I like reading manga.","妹は料理をするのが好きです。
imouto wa ryouri o suru no ga suki desu.
My younger sister likes to cook.","君、運動するのが好きだね。
kimi, undou suru no ga suki da ne.
You sure like working out don't you.","彼女は野球の試合を見るのが好きです。
kanojo wa yakyuu no shiai o miru no ga suki desu.
She likes watching baseball games."
ので(node),because of; given that; since ~,"Meaning 意味 because of; given that; since ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb ので Noun + な な-adjective + な い-adjective",jlpt_n5,"ちょっと寒いので、窓を閉めてもいいですか。
chotto samui node, mado o shimetemo ii desu ka.
It's a bit cold, so is it OK to close the window?","ちょっと用事があるので、先に帰ります。
chotto youji ga aru node, saki ni kaerimasu.
There's something I need to take care of, so I'm heading home early.","台風が来るので、明日のクラスに来なくていいです。
taifuu ga kuru node, ashita no kurasu ni konakute ii desu.
Since there's a typhoon coming, it's OK to not come to tomorrow's class.","おなかが痛いので、薬をください。
onaka ga itai no de, kusuri o kudasai.
I have a stomachache, so please give me some medicine.","彼女がとてもきれいなので、すぐ好きになりました。
kanojo ga totemo kirei na node, sugu suki ni narimashita.
Since she's very beautiful, I quickly fell in love."
お / ご(o / go),polite marker; honorific prefix particle,"Meaning 意味 polite marker; honorific prefix particle
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: honorific expressions , Japanese particles
How to use 使い方 お / ご Noun Adjective Related Kanji 漢字 N3 Kanji: 御 (gyo, go, on, o) Meaning: honorable",jlpt_n5,"金曜日はおひまですか？
kinyoubi wa ohima desu ka?
Are you free on Friday?","今日のご気分はどうですか。
kyou no gokibun wa dou desu ka?
How do you feel today?","お兄さんと一緒に行った。
oniisan to isshoni itta.
I went together with my older brother.","お帰りなさい。
okaeri nasai.
Welcome home.","お休みなさい。
oyasumi nasai.
Good night."
を(o / wo ),object marker particle,"Meaning 意味 object marker particle
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Noun を Verb",jlpt_n5,"日本語をべんきょうしています。
nihongo o benkyou shiteimasu.
I am studying Japanese.","日本語を話します。
nihongo o hanashimasu.
I speak Japanese.","今日は朝ごはんを食べませんでした。
kyou wa asagohan o tabemasen deshita.
Today, I didn't eat breakfast.","もう宿題をしました。
mou shukudai o shimashita.
I already did my homework.","毎日ランニングをします。
mainichi ranningu o shimasu.
I go running every day."
しかし(shikashi),but; however ~,"Meaning 意味 but; however ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions
How to use 使い方 しかし phrase",jlpt_n5,"しかしなぜ？
shikashi naze?
But why? (expressing disagreement)","日本は大好きです。しかし、日本の夏がとても暑いです。
nihon wa daisuki desu. shikashi, nihon no natsu ga totemo atsui desu.
I love Japan. However, the summer is very hot!","今日のクラスはむずかしかったです。しかし楽しかったです。
kyou no kurasu wa muzukashikatta desu. shikashi, tanoshikatta desu!
Today's class was difficult.. But, it was a lot of fun!","しかし問題があるかもしれない。
shikashi mondai ga aru kamoshirenai.
However, there might be a problem.","冬は寒い、しかし私は好きだ。
fuyu wa samui, shikashi watashi wa suki da.
Winter is cold, but I like it."
それから(sore kara),and; and then; after that; since then,"Meaning 意味 and; and then; after that; since then
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions
How to use 使い方 それから Phrase",jlpt_n5,"それから、私は昼ごはんを食べました。
sore kara, watashi wa hiru gohan o tabemashita.
And then, I ate lunch.","あなたはそれからどうするのですか。
anata wa sore kara dou suru no desuka?
What will you do after that?","あなたは、それからどこにいましたか？
anata wa, sore kara doko ni imashita ka?
Where were you after that?","それから、私たちはアイスを食べました。
sore kara, watashi tachi wa aisu o tabemashita.
And then, we ate ice cream.","彼女は優しい。それからきれいだ。
kanojo wa yasahii. sore kara kirei da.
She is kind and beautiful."
そして(soshite),and; and then; thus; and now ~,"Meaning 意味 and; and then; thus; and now ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions
How to use 使い方 そして Phrase",jlpt_n5,"そして行ってしまった。
soshite itte shimatta.
And then (he) was gone.","そして私はあなたに出会った。
soshite watashi wa anata ni deatta.
And then I met you.","そして、私は朝ごはんを食べました。
soshite, watashi wa asagohan o tabemashita.
And then, I ate breakfast.","ご飯を買った。そして、家に帰った。
gohan o katta. soshite, ie ni kaetta.
I bought dinner and then went home.","母は料理をする。そして、父は皿を洗う。
haha wa ryouri o suru. soshite, chichi wa sara o arau.
My mother cooks and my father washes the dishes."
すぎる(sugiru),too much,"Meaning 意味 too much
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) すぎる すぎます すぎた すぎました すぎて な-adjective い-adjective + い Related Kanji 漢字 N3 Kanji: 過 (ka, sugiru) Meaning: overdo, exceed, go beyond",jlpt_n5,"このシャツは大きすぎる。
kono shatsu wa ooki sugiru.
This shirt is too big.","今年の夏は暑すぎた。
kotoshi no natsu wa atsu sugita.
This year's summer was too hot.","冬の来るのが早すぎた。
fuyu no kuru no ga haya sugita.
Winter has come too soon.","この問題は簡単すぎます。
kono mondai wa kantan sugimasu.
This problem is too easy.","幸せすぎて死にそうだ。
shiawase sugite shini sou da.
I'm so happy I could die."
たことがある(ta koto ga aru),to have done something before,"Meaning 意味 to have done something before
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: こと expressions
How to use 使い方 Verb (た form) ことがある ことがない ことがあります ことがありません",jlpt_n5,"これを見たことがある。
kore o mita koto ga aru.
I've seen this before.","フランスに行ったことがある。
furansu ni itta koto ga aru.
I've been to France before.","それを聞いたことがある。
sore o kiita koto ga aru.
I've heard of that before.","一度だけカラオケをやったことがあります。
ichido dake karaoke o yatta koto ga arimasu.
I've only tried karaoke once before.","日本に行ったことありますか？
nihon ni itta koto arimasu ka?
Have you been to Japan before?"
たい(tai),want to do something,"Meaning 意味 want to do something
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: suffix
How to use 使い方 Verb ます (stem form) たい たくない たかった",jlpt_n5,"日本語をもっと勉強したいです。
nihongo o motto benkyou shitai desu.
I want to study more Japanese.","先生、聞きたいことがありますが。
sensei, kikitai koto ga arimasu ga.
Sensei, there is something I'd like to ask you..","早く結婚したい。
hayaku kekkon shitai.
I want to hurry up and get married.","自転車がこわれたから、新しいのを買いたい。
jitensha ga kowareta kara, atarashii no o kaitai.
My bicycle broke, so I want to buy a new one.","子どものころから、ずっと日本に行きたかった。
kodomo no koro kara, zutto nihon ni ikitakatta.
Ever since I was little, I always wanted to go to Japan."
たり～たり(tari~tari),do such things as A and B,"Meaning 意味 do such things as A and B
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Verb-た + り ～ Verb-た + り + する Noun + だったり ～ Noun + だったり な-adj + だったり ～ な-adj + だったり い-adj + い かったり ～ い-adj + い かったり",jlpt_n5,"休みの日は水曜日だったり、日曜日だったりです。
yasumi no hi wa suiyoubi dattari, nichiyoubi dattari desu.
We are closed on Wednesdays and Sundays.","日曜日は買い物したり、映画を見たりした。
nichiyoubi wa kaimono shitari, eiga o mitari shita.
On Sunday I went shopping and watched a movie.","私の店は忙しかったり暇だったりです。
watashi no mise wa isogashi kattari hima dattari desu.
My shop is sometimes busy and sometimes slow.","今日は宿題をしたり、部屋の掃除をしたり、忙しいです。
kyou wa shukudai o shitari, heya no souji o shitari, isogashii desu.
Today I'm busy with (things like) doing my homework and cleaning my room.","冬休みは漢字を勉強したり、運動したりするつもりです。
fuyu yasumi wa kanji o benkyou shitari, undou shitari suru tsumori desu.
During winter break I plan to study kanji and exercise."
てある(te aru),is/has been done (resulting state),"Meaning 意味 is/has been done (resulting state)
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (て form) ある あった あります ありました",jlpt_n5,"ここには私の名前が書いてあります。
koko ni wa watashi no namae ga kaite arimasu.
My name is written here.","ドアがわざと開けてある。
doa ga wazato akete aru.
The door has been left intentionally opened.","宿題はもうやってあります。
shukudai wa mou yatte arimasu.
I have already finished my homework.","夜には学校の入り口が閉めてある。
yoru ni wa gakkou no iriguchi ga shimete aru.
At night, the school entrance is closed.","ここに何て書いてあるの？
koko ni nante kaite aru no?
What is written here?"
ている(te iru),ongoing action or current state,"Meaning 意味 ongoing action or current state
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (て form) いる いない います いません",jlpt_n5,"昼ごはんは何を食べているの？
hirugohan wa nani o tabete iru no?
What do you eat for lunch?","私もその本を読んでいる！
watashi mo sono hon o yonde iru!
I'm also reading that book!","いつからサッカーをやっているのですか。
itsu kara sakkaa o yatte iru no desu ka?
How long have you been playing soccer?","今日の日本は雨が降っています。
kyou no nihon wa ame ga futteimasu.
It's raining in Japan today.","どれくらい日本に住んでいますか？
dorekurai nihon ni sunde imasu ka?
How long have you been living in Japan?"
てから(te kara),after doing ~,"Meaning 意味 after doing ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (て form) から",jlpt_n5,"トイレを使ってから、手を洗わないといけません。
toire o tsukatte kara, te o arawanai to ikemasen.
We must wash our hands after using the restroom.","買い物をしてから家に帰ります。
kaimono o shite kara ie ni kaerimasu.
I'll come home after I finish shopping.","ご飯を食べてから散歩しました。
gohan o tabete kara sanpo shimashita.
After eating I went for a walk.","今日は、起きてからまだ何も食べていません。
kyou wa, okite kara mada nanimo tabeteimasen.
I haven't eaten anything today since waking up.","アメリカに帰国してから太りました。
amerika ni kikoku shite kara futorimashita.
I gained weight since coming back to America."
てください(te kudasai),please do,"Meaning 意味 please do
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (てform) ください",jlpt_n5,"ちょっと待ってください。
chotto matte kudasai
Please wait a moment.","やめてください！
yamete kudasai!
Please stop!","もっとゆっくり言ってください。
motto yukkuri itte kudasai.
Please speak more slowly.","静かにしてください。
shizukani shite kudasai
Please quiet down.","やってみてください。
yatte mite kudasai.
Give it a try!"
てはいけない(te wa ikenai),must not; may not; cannot,"Meaning 意味 must not; may not; cannot
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (て form) はいけない はいけません",jlpt_n5,"窓を開けてはいけない。
mado o akete wa ikenai.
Do not open up the window.","嘘をついてはいけない。
uso o tsuite wa ikenai.
You must not tell lies.","ろうかを走ってはいけませんよ。
rouka o hashitte wa ikemasen yo.
No running in the halls.","図書館でうるさくしてはいけない。
toshokan de urusaku shite wa ikenai.
We cannot be loud in the library.","今日試験があるから、遅刻してはいけない。
kyou shiken ga aru kara, chikoku shite wa ikenai.
There's a test today, so you can't be late."
てもいいです(temo ii desu),is OK to ~; is alright to ~; may I ~?,"Meaning 意味 is OK to ~; is alright to ~; may I ~?
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (て form) もいい（です） Noun + で な-adjective + で い-adjective + い くて",jlpt_n5,"トイレに行ってもいいですか？
toire ni ittemo ii desu ka?
May I go to the restroom?","うん、行ってもいいですよ！
un, ittemo ii desu yo!
Sure, go a head!","明日でもいいですか？
ashita demo ii desu ka?
Is tomorrow OK?","どっちの日でもいいですよ。
docchi no hi demo ii desu yo.
Either day would be all right with me.","それを食べてもいいですか。
sore o tabetemo ii desu ka?
Can I eat that?"
と(to),and; with; as; connecting particle,"Meaning 意味 and; with; as; connecting particle
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 phrase と",jlpt_n5,"お母さんと買い物に行った。
okaasan to kaimono ni itta.
I went shopping with my mom.","彼女と仲がいいです。
kanojo to naka ga ii desu.
She and I get along well.","あなたと話したくない。
anata to hanashi takunai.
I don't want to talk to you.","これとそれは違います。
kore to sore wa chigaimasu.
This and that are different.","彼はベトナム人と結婚している。
kare wa betonamu jin to kekkon shiteiru.
He's married to a Vietnamese person."
とき(toki),when; at this time,"Meaning 意味 when; at this time
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (casual form) とき Noun + の な-adjective + な い-adjective + い Related Kanji 漢字 N5 Kanji: 時 (ji, toki) time, hour",jlpt_n5,"分からないときは、早く先生に聞きましょうね。
wakaranai toki wa, hayaku sensei ni kikimashou ne.
Whenever you don't understand, hurry up and ask the teacher.","道を渡るとき、車に気をつけてください。
michi o wataru toki, kuruma ni ki o tsukete kudasai.
When crossing the street, be careful with the cars.","時間がないときは、朝ごはんを食べません。
jikan ga nai toki wa, asagohan o tabemasen.
When I have no time, I don't eat breakfast.","体の調子が悪いとき、温かいお茶を飲みます。
karada no choushi ga warui toki, atatakai ocha o nomimasu.
When I'm not feeling well, I drink warm tea.","眠いとき、いつもチョコレートを食べます。
nemui toki, itsumo chokoreeto o tabemasu.
I always eat chocolate whenever I'm feeling sleepy."
つもり(tsumori),plan to ~; intend to ~,"Meaning 意味 plan to ~; intend to ~
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Verb (dictionary form) Verb (ない form) つもりだ つもりです つもりはない つもりはありません",jlpt_n5,"今日はラーメンを食べるつもりだ。
kyou wa raamen o taberu tsumori da.
Today, I plan to eat ramen.","あなたたちも行くつもりですか？
anatatachi mo iku tsumori desu ka?
Are you guys also planning to go?","大学に入って日本語を勉強するつもりです。
daigaku ni haitte nihongo o benkyou suru tsumori desu.
I plan on studying Japanese once I enter university","何度聞かれても、あなたに教えるつもりはありません。
nando kikaretemo, anata ni oshieru tsumori wa arimasen.
No matter how many times you ask, I have no plans to tell you.","いつ日本に留学するつもりなの？
itsu nihon ni ryuugaku suru tsumori nano?
When do you plan on studying abroad in Japan?"
は(wa - topic marker),topic marker,"Meaning 意味 topic marker
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 See below",jlpt_n5,"私はジョンです。
watashi wa jon desu.
""I"" am John.","それは面白い。
sore wa omoshiroi.
""That"" is interesting.","今日は電車で来ました。
kyou wa densha de kimashita.
""Today"" I came by train.","金曜日は空いていますか？
kinyoubi wa aiteimasu ka?
How about ""Friday"", are you free?","運動をするのは嫌です。
undou o suru no wa iya desu.
I hate ""exercising""."
は〜より・・・です(wa ~yori... desu),[Noun-1] is more ~ than [Noun-2],"Meaning 意味 [Noun-1] is more ~ than [Noun-2]
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun-1 + は + Noun-2 + より + Adj +です",jlpt_n5,"本は映画より面白いです。
hon wa eiga yori omoshiroi desu.
Books are more interesting than movies.","今日は昨日より忙しいです。
kyou wa kinou yori isogashii desu.
Today is busier than yesterday.","電車はバスより速いです。
densha wa basu yori hayai desu.
Trains are faster than buses.","アメリカ人は日本人より背が高いです。
amerika jin wa nihon jin yori se ga takai desu.
Americans are taller than Japanese.","北海道は台湾より大きいです。
hokkaidou wa taiwan yori ookii desu.
Hokkaido is bigger than Taiwan."
はどうですか(wa dou desu ka),how about; how is,"Meaning 意味 how about; how is
example sentences
vocabulary list
related grammar
Level: JLPT N5
How to use 使い方 Noun はどうですか",jlpt_n5,"明日はどうですか。
ashita wa dou desu ka?
How about tomorrow?","日本はどうですか？
nihon wa dou desu ka?
How do you like Japan?","天気はどうですか。
tenki wa dou desu ka.
How is the weather?","買い物に行くのはどうですか。
kaimono ni iku no wa dou desu ka.
What do you say to going shopping?","日本語の勉強はどうですか。
nihongo no benkyou wa dou desu ka.
How are your Japanese studies going?"
や(ya),and; or; connecting particle,"Meaning 意味 and; or; connecting particle
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Noun + や + Noun",jlpt_n5,"毎朝、パンやベーコンなどを食べています。
mai asa, pan ya beekon nado o tabeteimasu.
Every morning I eat bread and bacon and so on.","スーパーで肉や野菜を買いました。
suupaa de niku ya yasai o kaimashita.
I bought some meat and vegetables (and so on) from the supermarket.","あなたのおすすめの音楽や本を私に教えてください。
anata no osusume no ongaku ya hon o watashi ni oshiete kudasai.
Please tell me your recommended music or books.","電車やバスでの旅は好きです。
densha ya basu de no tabi wa suki desu.
I like traveling by train and bus (and so on).","私はアメリカやイギリスのテレビドラマを見るのが好きです。
watashi wa amerika ya igirisu no terebi dorama o miru no ga suki desu.
I like watching American and British dramas (among others)."
より～ほうが(yori ~hou ga),[2] is more than [1],"Meaning 意味 [2] is more than [1]
example sentences
vocabulary list
related grammar
Level: JLPT N5
Tags: Japanese particles
How to use 使い方 Verb-1 より Verb-2 ほうが ~ Noun-1 Noun-2 + の な-adj-1 な-adj-2 +な い-adj-1 い-adj-2 Related Kanji 漢字 N4 Kanji: 方 (hou, kata) direction, person",jlpt_n5,"私は猫より、犬のほうが好きです。
watashi wa neko yori, inu no hou ga suki desu.
I like dogs more than cats.","昨日より今日の方が暑いです。
kinou yori kyou no hou ga atsui desu.
It's hotter today than it was yesterday.","彼女より、君の方がきれいだよ。
kanojo yori kimi no hou ga kirei da yo.
You're more beautiful than she is.","日本語を読むより、話す方が上手だ。
nihongo o yomu yori, hanasu hou ga jouzu da.
I'm better at speaking Japanese than I am at reading it.","遅く寝るより、早く寝た方がいいですよ。
osoku neru yori, hayaku neta hou ga ii desu yo.
Going to bed earlier is better than going to bed late."
