rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,notes,example_1,example_2,example_3
76,白髪,しらが,shiraga,Noun,white hair; grey hair,jlpt_n2,,"父は白髪が混じってきた

My father is becoming gray.","父の髪は白髪交じりになった

My father's hair has become streaked with gray.","彼女の髪は白髪まじりだ

Her hair is streaked with gray."
77,自然科学,しぜんかがく,shizenkagaku,Noun,natural science,jlpt_n2,,"娘は言語や芸術よりも自然科学が好きです

My daughter prefers science to languages or art.","物理学は基本的な自然科学である

Physics is a fundamental natural science.","物理学は基礎的な自然科学である

Physics is a fundamental natural science."
78,書店,しょてん,shoten,Noun,bookshop; bookstore,jlpt_n2,,"を運ぶ必要はなくなる。

If you like a particular magazine, you can have it delivered to you by subscription, which enables you to avoid visiting a bookstore..","の経営を圧迫することになりかねない。

For retail stores that do not generate a large volume of sales, such as a privately owned bookstore or a stationery store, shoplifting and other forms of loss can severely impact the businesses’ viability. As such, it is worth remembering that shoplifting is a crime.","がある。

Go straight north from the station, turn right at the first crossroads, go a little farther, and the bookstore will be on your left."
79,商社,しょうしゃ,shousha,Noun,trading company; firm,jlpt_n2,,"があると言っていた。

A friend of mine who jot a job with a general trading company said that, after working in Japan for a few years, he would surely then be transferred to the overseas office.","と比べると高いといえる。

The annual income of a trading company’s employees varies by department, but it is generally higher than the average income of people within the same age group.","商社はアジアの新しい市場に目をつけています

Trade companies aim at a new market in Asia."
80,商店,しょうてん,shouten,Noun,shop; small store; business; firm,jlpt_n2,,"を変えた。

Redevelopment in front of the station has transformed the old shopping area into a large shopping mall.","いない。

Although the concept of redeveloping the area in front of the station has been in the planning stage for 10 years; it has not been realized due to the challenge of gaining the approval of the local shopping district.","は反対している。

The construction of a large new shopping mall could be the death knell for the local shopping district, and the shopkeepers are opposed to the development."
81,集合,しゅうごう,shuugou,"Noun, Verb, Suru verb",gathering; assembly; meeting,jlpt_n2,,"について、集合時間や見どころ、食事や見学時の注意なども含めて、詳しく説明してくれた。

The tour guide gave a detailed description of the itinerary of the day’s journey, including meeting times, highlights, and notes on meals and visits.","の予定だ。

For the bus trip tomorrow, we are scheduled to meet at Shinjuku Station at 9:00 a.m. and depart at 9:15 a.m.","した。

The pandemic prevented the opportunity to study abroad, which was disheartening."
82,習字,しゅうじ,shuuji,Noun,calligraphy; penmanship,jlpt_n2,,"いた。

When I was a child, I wanted to learn to write beautifully, so I attended a Japanese calligraphy class.",,
83,集会,しゅうかい,shuukai,"Noun, Verb, Suru verb",meeting; assembly; gathering; convention; rally,jlpt_n2,,"魔女集会で悪魔を召喚する

Her coven conjures the demons.","彼は集会で演説しなければならなかった

He had to address the meeting.","集会は時に解散した

The meeting broke up at seven."
84,速力,そくりょく,sokuryoku,Noun,speed,jlpt_n2,,"彼は全速力で走った

He ran as fast as his legs could carry him.","彼は全速力でドアの方へ向かった

He headed for the door at full speed.","待ちくたびれているか全速力で飛び出すかだ

Bored waiting or rushing off at full speed."
85,速達,そくたつ,sokutatsu,"Noun, Verb, Suru verb",express; special delivery,jlpt_n2,,"速達便でお願いします

Please send it by special delivery.","速達にしてくれませんか

Can you make it special delivery?","速達で送ってください

Please send it by express mail."
86,足袋,たび,tabi,Noun,Japanese socks (with split toe),jlpt_n2,,,,
87,足る,たる,taru,"Verb, Godan verb, Intransitive verb",to be sufficient; to be enough​; to be worth doing; to be worthy of; to deserve​,jlpt_n2,,"」など、うがったことを言っているのを読んで感心した。

I was impressed when I read in the newspaper’s letters to the editor section one by a junior high school student making insightful comments about the way people live, mentioning concepts like “being satisfied with one’s lot in life.”","と自分を比較してばかりいては幸せになれない。「

You cannot be happy if you are constantly comparing yourself to others. As the saying goes, “Be satisfied with your lot in life,” it is important to cherish what you have in the present moment and be thankful for it every day.","この校閲力の弱さは人手が足らないとしか考えられませんね

I can only put this poor checking down to lack of people at work."
88,特売,とくばい,tokubai,"Noun, Verb, Suru verb",special sale,jlpt_n2,,"毛皮のコートが特売中です

Fur coats are on sale.","今日はりんごが特売だった

Apples were on sale today.","きのうは和牛が特売だった

Japanese beef was on sale yesterday."
89,透明,とうめい,toumei,"Noun, Adjective, な-adjective",transparent; clear,jlpt_n2,,"に、浅い眠りと深い眠りを交互に繰り返している。

During a night’s sleep, a person alternates between shallow and deep sleep.","の上にビニールをかけてくれる。

When you shop at a department store on a rainy day, they put a plastic cover over the paper bags to keep the items you buy dry.","の高い海に分布している。

Coral reefs are distributed in shallow, clear waters in the tropics and subtropics."
90,東洋,とうよう,touyou,Noun,Orient,jlpt_n2,,"仏教に関するその記事は私に再び東洋の宗教に関する興味を呼び起こした

The article on Buddhism revived my interest in oriental religions.","が深い。

My doctor is an internist, but he is also well versed in Eastern medicine. After treating patients with chronic diseases for many years, he felt the limitations of Western medicine and started conducting research on Eastern medicine.","仏教に関するその記事が私の東洋の宗教への情熱を呼び戻した

The article on Buddhism revived my passion for Oriental religions."
91,売れ行き,うれゆき,ureyuki,Noun,sales; demand,jlpt_n2,,"季節限定のメニューだったが、好評につき、販売を継続することにした。

The menu was seasonal and available for only a limited time during the season, but due to its popularity the company decided to continue offering it.","がいい。

New bread products made with walnuts have been well received by customers, and they are selling fast every day.","への暴言は許されるものではない。

Regardless of whether you are drunk or not, verbal abuse of subordinates is not acceptable."
92,売上,うりあげ,uriage,Noun,amount sold; sales; proceeds; turnover,jlpt_n2,,"と、好調な伸びを示している。

Our new product was featured on a TV program, and we were inundated with enquiries, resulting in a 150% increase in sales this fiscal year compared to last year.","の経営を圧迫することになりかねない。

For retail stores that do not generate a large volume of sales, such as a privately owned bookstore or a stationery store, shoplifting and other forms of loss can severely impact the businesses’ viability. As such, it is worth remembering that shoplifting is a crime.","の目標について話し始めた。

The division manager opened the meeting by pointing out the details of last month’s sales slump, took a breath, and then began talking about the new goal for this month that we should aim for."
93,売り切れ,うりきれ,urikire,Noun,sold out,jlpt_n2,,"でがっかりした。

I had come a long way to buy the sweets that were featured on TV, but I was disappointed that they were already sold out.","切符はたちまち売り切れた

The tickets were sold out in a moment.","切符はすべて売り切れです

All the tickets are sold out."
94,売り切れる,うりきれる,urikireru,"Verb, Ichidan verb, Intransitive verb",to be sold out,jlpt_n2,,"切符はたちまち売り切れた

The tickets were sold out in a moment.","もう売り切れてしまったのですが次回有効券をお渡しいたします

It's out of stock, but I can give you a rain check.","それはすべて売り切れた

They were all sold out."
95,我が,わが,waga,Pre-noun adjectival,my; our; one's own,jlpt_n2,,"で夕食を作っている。

In our family, we have a meal rota: my husband and I take turns cooking dinner each day.","だろう。

By repeating consecutive losses, it is impossible for our team to be promoted to the higher-ranking league this year.","ため、社員や関係者に話を聞いてまわっているらしい。

I heard that a rival company is going around talking to employees and other concerned parties in order to figure out the inner workings of our company."
96,洋品店,ようひんてん,youhinten,Noun,shop that handles Western-style apparel and accessories,jlpt_n2,,,,
97,輸血,ゆけつ,yuketsu,"Noun, Verb, Suru verb",blood transfusion,jlpt_n2,,"輸血が必要です

A blood transfusion is necessary.",,
98,輸送,ゆそう,yusou,"Noun, Verb, Suru verb",transport; transportation,jlpt_n2,,"によって輸送する事業を海運業と言う。

The business of transporting passengers and cargo by ship is called shipping.","海運は長い歴史を持つ産業である。いつの時代でも、海外との貿易では、重い貨物は

Shipping is an industry with a long history. It has always been the case that heavy cargoes are always transported by ship when trading with foreign countries.","している。

In an effort to build a recycling-oriented society, the Tokyo Metropolitan Government encourages recycling."
99,材木,ざいもく,zaimoku,Noun,lumber; timber,jlpt_n2,,"が積まれている。

Lots of lumber is piled up at a housing construction site.","彼らは私達に材木を送ってくれるだろう

They will send us lumber.","彼は本箱を作るために材木を少し買っている

He is buying some wood so that he can make a bookcase."
