japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
からして(kara shite),judging from; based on; since; from; even ~,"Meaning 意味 judging from; based on; since; from; even ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun からして",jlpt_n2,"タイトルからして、面白そうな本ですね。
taitoru kara shite, omoshiro sou na hon desu ne.
Judging from the title, this book sounds interesting.","その新社員は顔つきからして優しそうだ。
sono shinshain wa kao tsuki kara shite yasashi sou da.
That new employee looks very friendly (based on their expression).","この子は笑い方からして母親にそっくりだ。
kono ko wa waraikata kara shite hahaoya ni sokkuri da.
This child's laughter is just like their mother's.","このレストランは雰囲気からして結構高そうだね。
kono resutoran wa fun’iki kara shite kekkou takasou da ne.
Judging from the atmosphere, this restaurant looks rather expensive.","これまでの実績からして、Aチームが勝つと予想した人が多かった。
kore made no jisseki kara shite, A chiimu ga katsu to yosou shita hito ga ookatta.
Based on the results until now, many people predicted that team A would win."
からすると / からすれば(kara suru to / kara sureba),judging from; considering; by the look of ~,"Meaning 意味 judging from; considering; by the look of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Noun からすると からすれば",jlpt_n2,"彼の症状からすると、心臓の病気かもしれません。
kare no shoujou kara suru to, shinzou no byouki kamo shiremasen.
Judging from his condition, it might be a heart illness.","今度のJLPTですが、今の皆さんの実力からすると問題なく合格できるでしょう。
kondo no JLPT desuga, ima no minasan no jitsuryoku kara suru to mondai naku goukaku dekiru deshou.
As for this upcoming JLPT exam, considering everyone's ability level you all should be able to pass without any problems.","ラーメンを食べる時に音を出す習慣は外国人からすると、考えられないことだそうです。
raamen o taberu toki ni oto o dasu shuukan wa gaikokujin kara suru to, kangae rarenai koto da soudesu.
The custom of making sounds while eating ramen seems to be a bit strange for foreigners.","この1年間の成績からすると、希望の大学を合格の可能性は十分になる。
kono ichi nenkan no seiseki kara suru to, kibou no daigaku o goukaku no kanousei wa juubun ni naru.
Judging from this year's results, there is a good chance you'll be accepted into your university of choice.","子供の能力からすると、どんなに頑張っても親の要求水準に答えることはできません。
kodomo no nouryoku kara suru to, donna ni ganbattemo oya no youkyuu suijun ni kotaeru koto wa dekimasen.
Judging from the children’s abilities, no matter how hard they work they will not be able to live up to their parents expectations."
からと言って(kara to itte),just because; even if; even though ~,"Meaning 意味 just because; even if; even though ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual) からといって Noun + だ な-adjective + だ い-adjective Related Kanji 漢字 N4 Kanji: 言 (gen, koto) say",jlpt_n2,"お金がたくさんあるからといって使いすぎるのはよくない。
okane ga takusan aru kara to itte tsukaisugiru no wa yokunai.
It’s not good to spend too much just because you have a lot of money.","安いからといって、要らないものまで買うのはよくない。
yasui kara to itte, iranai mono made kau nowa yokunai.
It’s not good to buy unnecessary things just because they’re cheap.","日本人だからといって、すべて日本文化について知っているわけではない。
nihonjin dakara to itte, subete nihonbunka ni tsuite shitte iru wake dewa nai.
Just because they are Japanese doesn't mean that they know everything about Japanese culture.","野菜が嫌いだからと言って、食べないのはよくないよ。
yasai ga kirai da kara to itte, tabenai nowa yokunai yo.
It's not good to not eat vegetables just because you don't like them.","親だからと言って、勝手に子供の人生を決めるのはあまりよくない。
oya dakara to itte, katte ni kodomo no jinsei o kimeru nowa amari yokunai.
It’s not good to decide your child’s life just because you’re their parent."
っこない(kkonai),no chance of; … is definitely not possible,"Meaning 意味 no chance of; … is definitely not possible
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb ます (stem form) っこない Verb (potential stem form)",jlpt_n2,"車なんて買えっこないよ、自転車を買うお金もないんだから。
kuruma nante kae kkonai yo, jitensha o kau okane mo nain dakara.
There's no way I can buy a car! I don't even have enough money to buy a bicycle..","3歳の子供にそんな難しいことを言っても分かりっこないよ。
3さいのこどもにそんなむずかしいことをいってもわかりっこないよ。
san sai no kodomo ni sonna muzukashii koto o ittemo wakarikkonai yo.","もう新宿駅には100回以上行ったんだから、迷いっこないよ。
mou shinjuku eki niwa 100 kai ijou ittan dakara, mayoi kkonai yo.
I've been to Shinjuku station over 100 times, so there's no way I'd get lost there.","今日中に漢字を100字覚えるなんて無理だ。できっこない。
kyoujuu ni kanji o 100ji oboerunante murida. deki kkonai.
It's impossible to memorize 100 kanji today.. There's no way I could do it..","あの大学には合格しっこない僕はそんなに頭がよくないから。
ano daigaku niwa goukaku shi kkonai. boku wa sonnani atama ga yokunai kara.
There's no way I could get into that university, I'm not that smart.."
ことだ(koto da),should do~ (used for suggestions or giving advice),"Meaning 意味 should do~ (used for suggestions or giving advice)
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: こと expressions
How to use 使い方 Verb (dictionary form) ことだ Verb (ない form)",jlpt_n2,"風邪ぎみなら、早く寝ることですよ。
kaze gimi nara, hayaku neru koto desu yo.
If you feel like you're catching a cold, you should go to bed early.","無理をしないことだよ。
muri o shinai koto da yo.
You shouldn't push yourself too hard","N2に合格したかったら、とにかく漢字を覚えることだよ。
N2にごうかくしたかったら、とにかくかんじをおぼえることだよ。
N2 ni goukaku shitakattara, tonikaku kanji o oboeru koto da yo.","日本語がうまくなりたかったら、日本人の恋人をつくることですよ。
nihongo ga umaku naritakattara, nihonjin no koibito o tsukuru koto desu yo.
If you want to improve your Japanese, you should get a Japanese boyfriend/girlfriend.","一度に全部は無理です。毎日少しずつ勉強することです。
ichido ni zenbu wa muri desu. mainichi sukoshi zutsu benkyou suru koto desu.
It is impossible to do it all at once. It is best to study a little bit everyday."
ことだから(koto dakara),because; since ~,"Meaning 意味 because; since ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: こと expressions
How to use 使い方 Usage style #1 Noun + の ことだから Usage style #2 Verb ことだから ことだし Noun + である な-adjective + な/である い-adjective",jlpt_n2,"それは、私にとって重要なことだから答えて。
sore wa, watashi ni totte juuyou na koto dakara kotaete.
It is very important for me, so please answer it.","あなたのことだから上々でしょう。
anata no koto dakara joujou deshou.
I'm sure you did an excellent (since it's you we're talking about).","明るい彼女のことだから、どこへ行ってもすぐ友達ができるでしょう。
akarui kanojo no koto dakara, doko e ittemo sugu tomodachi ga dekiru deshou.
Since she has a bright personality, she is able to make friends no matter where she goes.","急を要することだから急いでください。
kyuu o you suru koto dakara isoide kudasai.
Please hurry, it's urgent.","ケチで有名な彼のことだから百円だって貸してくれないだろうな。
kechi de yuumei na kare no koto dakara hyakuen datte kashite kurenai darou na.
He's got a reputation of being stingy with money, so it's doubtful he'd lend even just 100 yen."
ことか(koto ka),how…!; what…!,"Meaning 意味 how…!; what…!
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: こと expressions
How to use 使い方 Verb (casual) ことか Noun + である な-adjective + な い-adjective",jlpt_n2,"何度注意したことか？
nando chuui shita koto ka?
How many times have I warned you?","この景色はなんときれいなことか。
kono keshiki wa nanto kirei na koto ka.
This scenery is incredibly beautiful!","僕は合格できたら、どんなに嬉しいことか。
boku wa goukaku dekitara, donnani ureshii koto ka.
If I am able to pass, I will be immeasurably happy!","今まで何度酒をやめようと思ったことか。
ima made nando sake o yameyou to omotta koto ka.
Until now how many times have I thought about quitting drinking?","学生時代、奨学金がもらえてどれほど助かったことか。
gakusei jidai, shougakukin ga moraete dore hodo tasukatta koto ka.
Getting a scholarship when I was a student really saved me.."
ことなく(koto naku),without doing something even once,"Meaning 意味 without doing something even once
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: without , こと expressions
How to use 使い方 Verb (dictionary form) ことなく",jlpt_n2,"お父さんは10年間休むことなく会社に通った。
otousan wa juu nenkan yasumu koto naku kaisha ni kayotta.
My father worked for 10 years without taking a break.","彼らは試合に勝つために、1日も休むことなく練習に励んだ。
karera wa shiai ni katsu tame ni, ichinichi mo yasumu koto naku renshuu ni hagen da.
In order to win the match, they practiced continually without any days off.","彼は緊張することなく、最後まで落ち着いて発表した。
kare wa kinchou suru koto naku, saigo made ochitsuite happyou shita.
Without getting nervous, he gave his speech calmly until the end.","彼は何度失敗してもあきらめることなく、研究を続けた。
kare wa nando shippai shite mo akirameru koto naku, kenkyuu o tsuzuketa.
No matter how many times he failed, he never gave up and continued his research.","同僚は同期にも相談することなく会社を辞めてしまった。
douryou wa douki nimo soudan suru koto naku kaisha o yamete shimatta.
My coworker quit in the same year he entered the company without consulting anyone."
ことに(koto ni),emphasize speaker's feelings; to my (surprise/etc),"Meaning 意味 emphasize speaker's feelings; to my (surprise/etc)
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: こと expressions
How to use 使い方 Verb (た form) ことに な-adjective + な い-adjective Related Kanji 漢字 N1 Kanji: 驚 (kyou, odoro(ku)) Meaning: wonder, be surprised, frightened, amazed",jlpt_n2,"嬉しいことに、明日退院できるんです。
ureshii koto ni, ashita taiin dekirun desu.
I'm happy that tomorrow I will be able to leave the hospital.","残念なことに、努力して頑張りましたが、失敗しました。
zannen na koto ni, doryoku shite ganbarimashita ga, shippai shimashita.
I tried my best effort but unfortunately I failed.","幸いなことに、やっと自分の好きな人と結婚できました。
saiwai na koto ni, yatto jibun no suki na hito to kekkon dekimashita.
Fortunately, I finally married the person i love.","不幸なことに友人の母が亡くなったのです。
fukouna koto ni yuujin no haha ga naku natta no desu.
Sadly my good friend's mother passed away.","嬉しいことに４月から、給料が１割りほど上がる。
ureshii koto ni 4 gatsu kara, kyuuryou ga 1 wari hodo agaru.
I'm happy that my salary will increase by 10% from April."
ことにはならない(koto niwa naranai),just because… doesn’t mean ~,"Meaning 意味 just because… doesn’t mean ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: こと expressions
How to use 使い方 Verb (casual, past) + (という) ことにはならない な-adjective + だという い-adjective + という",jlpt_n2,"でも、どうやらそんなことにはならないようです。
demo, douyara sonna koto ni wa naranai you desu.
But this did not seem likely to happen.","彼が絵が好きだからといって絵がうまいということにはならない。
kare ga e ga suki dakaratoitte e ga umai to iu koto ni wa naranai.
Just because he likes painting does not mean that he paints well.","彼女は貧しいからといって不幸だということにはならない。
kanojo wa mazushii kara to itte fukou da to iu koto ni wa naranai.
Just because she’s poor does not mean that she is unhappy.","他人が悪い事をしているからといって自分もそうしてよいということにはならない。
tanin ga warui koto o shiteiru kara to iette jibun mo sou shite yoi to iu koto ni wa naranai.
Just because someone else is doing something bad does not mean it's OK for you to do it too.","本やインターネットの資料を写しただけではレポートを書いたことにはならない。
hon ya intaanetto no shiryou o utsushita dake de repooto o kaita koto ni wa naranai.
Just because you copied text from the internet or books doesn’t mean that you’ve written a report."
まだしも(madashimo),rather; better​ ~,"Meaning 意味 rather; better​ ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs
How to use 使い方 Noun + なら まだしも Noun + は",jlpt_n2,"一度だけならまだしも、二度も失敗してしまった。
ichido dake nara madashimo, nido mo shippai shite shimatta.
It would be alright if I only messed up once, but I failed twice..","あの人、wordやexcelが使えないのはまだしも、メールもできないらしいよ。
ano hito, word ya excel ga tsukaenai no wa madashimo, meeru mo dekinai rashii yo.
It's one thing that they don't know how to use word and excel, but apparently they don't even know how to use email.","僕の英語力では、旅行はまだしも、留学なんて無理です。
boku no eigo ryoku de wa, ryokou wa madashimo, ryuugaku nante muri desu.
With my English ability, I can handle a bit of traveling, but studying abroad is out of the question.","数分ならまだしも、30分も待ってません。
suufun nara madashimo, sanjuu pun mo matteimasen.
I'm alright waiting a few minutes, but 30 minutes is unacceptable.","50年前ならまだしも、今そんなことを信じてる人はいません。
gojuu nen mae nara madashimo, ima sonnna koto o shinjiteiru hito wa imasen.
If it were 50 years ago, someone may believe you, but no one is going to believe that story now."
まい(mai),will not; will probably not; intend not to; must not ~,"Meaning 意味 will not; will probably not; intend not to; must not ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 U-verb (dictionary form) まい Ru-verb ます (stem form) Exception: する => すまい Exception: くる => こまい",jlpt_n2,"あんなところは二度と行くまい。
anna tokoro wa nido to iku mai.
I'll never go to such a place again.","彼はそう簡単に態度を変えるまい。
kare wa sou kantan ni taido o kaeru mai.
He won't be able to change his behavior that easily.","すべてが終わった。あの二人は二度と会うことはあるまい。
subete ga owatta. ano futari wa nidoto au koto wa arumai.
Everything is over. Those 2 will probably never meet again.","信用していた親友が僕の秘密をもらした。絶対に許すまい。
shinyou shite ita shinyuu ga boku no himitsu o marashita. zettai ni yurusu mai.
My good friend whom I trusted let my secret out. There's no way I can forgive them..","その時私がどれほど苦しかったかは、誰にも分るまい。
sono toki watashi ga dorehodo kurushikatta ka wa, dare nimo wakaru mai.
Nobody could possibly understand how much I was suffering at that time."
ままに(mama ni),"as, to do as ~","Meaning 意味 as, to do as ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) +（が） まま（に） Verb (られる form) +（が） Noun + の",jlpt_n2,"今のままにしておこう。
ima no mama ni shite okou.
Let's leave this as is.","思うままにどうぞ意見を言ってください。
omou mama ni douzo iken o itte kudasai.
Please tell me your honest opinion.","上司に命令されるままに行動していただけだ。
joushi ni meirei sareru mama ni koudou shite itadake da.
I just acted as directed by my boss.","感想を思うままにアンケートに書いてください。
kansou o omou mama ni ankeeto ni kaite kudasai.
Please fill in the questionnaire as you like.","一日一日を、思うがままに生きたい。
ichinichi ichinichi o, omou ga mama ni ikitai.
I want to live each and everyday to my heart's content."
もかまわず(mo kamawazu),without caring; without worrying about ~,"Meaning 意味 without caring; without worrying about ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: without
How to use 使い方 Verb (casual) + (の) も構わず もかまわず Noun Related Kanji 漢字 N3 Kanji: 構 (kou, kamau) Meaning: posture, build, pretend",jlpt_n2,"彼女は服が汚れるのもかまわず、公園で犬と遊んでいる。
kanojo wa fuku ga yogoreru no mo kamawazu, kouen de inu to asonde iru.
She played in the park with her dog without worrying about her clothes getting dirty.","あの男は人目もかまわず、電車の中で弁当を食べている。
ano otoko wa hitome mo kamawazu, densha no naka de bentou o tabete iru.
That man is eating his lunch box on the train without worrying about being looked at.","あの二人は、みんなが見ているのもかまわず、キスをした。
ano futari wa,minna ga mite iru no mo kamawazu, kisu o shita.
Those 2 kissed without worrying about everyone watching.","彼は値段もかまわず、好きな料理をどんどん注文した。
kare wa nedan mo kamawazu, suki na ryouri o dondon chuumon shita.
He ordered all of the food he likes without worrying about the price.","病院であるのもかまわず、あの女性は携帯電話で大きな声で話している。
byouin de aru no mo kamawazu, ano josei wa keitai denwa de ookina koe de hanashite iru.
Without worrying about being in a hospital, that lady talked loudly on her phone."
もの / もん(mono / mon),because; indicates reason/ excuse/ dissatisfaction,"Meaning 意味 because; indicates reason/ excuse/ dissatisfaction
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese particles , もの expressions
How to use 使い方 Verb (casual) +（んだ） もの もん Noun + なんだ な-adjective + なんだ い-adjective +（んだ）",jlpt_n2,"今日は早く帰ってきたんです。体調がよくないんだもの。
kyou wa hayaku kaette kitan desu. taichou ga yokunai nda mono.
I came home early today because I don't feel well","「またN2不合格だった．．．」「しょうがないよ、難しいもんね。」
""I failed the N2 again...""""It can't be helped, it's really tough to pass.""","「どうして食べないの？」「だって、全然美味しくないんだもん。」
""Why don't you eat it?""""Because it doesn't taste good at all.""","高いんですもの、買えません。
takai ndesu mono, kaemasen.
It's too expensive, so I cannot buy it.","今日の試験はダメだった。勉強しなかったんだもん、仕方がない。
kyou no shiken wa dame datta. benkyou shinakatta damon, shikata ganai.
Today's test was no good. I didn't study for it though, so it can't be helped."
ものだ(mono da),describe feeling; express memories; state fact,"Meaning 意味 describe feeling; express memories; state fact
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: もの expressions
How to use 使い方 Verb (dictionary form) ものだ もんだ ものじゃない Verb (ない form) な-adjective い-adjective",jlpt_n2,"人は誰でも間違いをするものだ。
hito wa dare demo machigai o suru mono da.
Everybody makes mistakes.","人は見かけでは分からないものだ。
hito wa mikake de wakaranai mono da.
People cannot be understood by just their outward appearance.","人は誰でも失敗するものです。
hito wa dare demo shippai suru mono desu.
Everybody experiences failure.","たくさん運動したら疲れるものです。
takusan undou shitara tsukareru mono desu.
Working out a lot will naturally make one tired.","子供は早く寝るもんだよ。
kodomo wa hayaku neru mon da yo.
Children must go to bed early."
ものではない(mono dewa nai),shouldn’t do something; it’s impossible to ~,"Meaning 意味 shouldn’t do something; it’s impossible to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (casual, past) ものではない",jlpt_n2,"何が起こるかわかったものではない。
nani ga okoru ka wakatta mono dewa nai.
There is no knowing what will happen.","目上の人にそんな言い方をするものではない。
meue no hito ni sonna iikata o suru mono dewa nai.
You should't talk that way to your superiors/seniors.","口の中に物を入れたまましゃべるものではない。
kuchi no naka ni mono o ireta mama shaberu mono dewa nai.
You shouldn’t speak with your mouth full.","小さい子を一人で遠くに遊びに行かせるものではない。
chiisai ko o hitori de tooku ni asobi ni ikaseru mono dewa nai.
We shouldn’t let little kids play far from home.","こんな料理、お客さんに出せたものではないよ。もっと練習しなさい。
konna ryouri, okyaku san ni daseta mono dewa nai yo. motto renshuu shinasai.
Food like this should not have been served to customers. Make sure to practice more!"
ものか / もんか(mono ka / mon ka),as if (something untrue were actually true); there's no way ~,"Meaning 意味 as if (something untrue were actually true); there's no way ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: ～か , Japanese particles
How to use 使い方 Verb (dictionary form) ものか もんか ものですか もんですか Noun + な な-adjective + な い-adjective",jlpt_n2,"あんな所へ誰が行くものか。
anna tokoro e dare ga iku mono ka.
Who would think of going there?","そんな事知るものか。
sonna koto shiru mono ka.
How in the world should I know?","私の気持ちがあなたに分かるものか。
watashi no kimochi ga anata ni wakaru mono ka.
As if you could understand my feelings.","こんなにたくさんの仕事、明日までに終わるものか。
konna takusan no shigoto, ashita made ni owaru mono ka.
With this much work to do, there's no way it will be finished by tomorrow.","店員の態度は悪いし、料理は美味しくないし、こんな店二度と来るものか。
tenin no taido wa warui shi, ryouri wa oishi kunai shi, konna mise nido to kuru mono ka.
The staff's attitude is bad and the food isn't good, there's no way I'm coming to this place ever again."
ものなら(mono nara),"if I/we could; if [A] is possible, then [B]; if one can do something, then ~","Meaning 意味 if I/we could; if [A] is possible, then [B]; if one can do something, then ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (potential form れる) ものなら もんなら (spoken)",jlpt_n2,"やれるもんなら、やってみろ。
yareru mon nara, yatte miro.
If you can do it, let's see you try.","止められるものなら止めてみるがよい。
tomerareru mono nara tomete miru ga yoi.
Try and stop me if you can.","やり直せるものならやり直したい。
yari naoseru mono nara yarinaoshitai.
I wish I could start over.","忘れられるものなら、忘れたいよ。
wasurerareru mono nara, wasuretai yo.
I wish I could forget it.","彼らがやれるものならやらせてみろ。
karera ga yareru mono nara yarasete miro.
Let them try it if they dare."
ものの(monono),but; although; even though ~,"Meaning 意味 but; although; even though ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese particles
How to use 使い方 Verb (casual) ものの Noun + である な-adjective + な い-adjective",jlpt_n2,"秋であるものの、まだ暑い。
aki de aru monono, mada atsui.
Although it's fall, it is still hot.","申し込みはしたものの、試験を受けるかどうか未定です。
moushikomi wa shita monono, shiken o ukeru ka dou ka mitei desu.
Although I applied to take the test, I'm not sure if I'll take it or not.","車の免許は持っているものの、ほとんど運転したことがありません。
kuruma no menkyo wa motteiru monono, hotonodo unten shita koto ga arimasen.
Although I have my driver's license, I have rarely ever driven.","買ったものの、使い方が分からない。
katta monono, tsukaikata ga wakaranai.
Although I bought it, I don't know how to use it..","金欠ではあるものの、毎日美味しい食事を楽しんでいる。
kinketsu de wa aru monono, mainichi oishii shokuji o tanoshindeiru.
Although it's true I'm broke, every day I enjoy a delicious meal."
もっとも(motto mo),but then; although; though ~,"Meaning 意味 but then; although; though ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese conjunctions
How to use 使い方 もっとも phrase",jlpt_n2,"全員が参加しなければなりません。もっとも病気の場合は別です。
zenin ga sanka shinakereba narimasen. Motto mo byouki no baai wa betsu desu.
Everyone must participate, unless you are sick.","今回の失敗は田中さんの責任だ。もっとも、私たちも責任を一部持ちます。
konkai no shippai wa tanaka san no sekinin da. motto mo, watashi tachi mo sekinin o ichibu mochimasu.
This failure is Mr. Tanaka's responsibility. Though really we all share some of the responsibility.","検査の前夜から飲食禁止です。もっとも水は飲んでも構いません。
kensa no zenya kara inshoku kinshi desu. motto mo mizu wa nondemo kamai masen.
No food is allowed from the night before the physical exam, but you can drink water though.","今年こそヨーロッパへ行きたいと思っています。もっとも休みが取れたらの話ですが。
kotoshi koso yooroppa e ikitai to omotte imasu. motto mo yasumi ga toretara no hanashi desu ga.
I want to finally go to Europe this year, although that depends on if I can take some days off or not.","今日の試合は私たちのチームが勝った。もっとも、次の試合はもっと難しいので無視にしないほうがいい。
kyou no shiai wa watashi tachi no chiimu ga katta. motto mo tsugi no shiai wa motto muzukashii node mushi ni shinai hou ga ii.
Our team won today's match. Though our next match will be more difficult, so we can't ignore that."
ないことには～ない(nai koto niwa~nai),unless you ~,"Meaning 意味 unless you ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: ～ない , こと expressions
How to use 使い方 Verb (ない form) ことには + Verb (ない form) Noun + でない な-adjective + でない い-adjective + い くない",jlpt_n2,"彼が来ないことには、会議を始めることができない。
kare ga konai koto niwa, kaigi o hajimeru koto ga dekinai.
Unless he comes, we cannot start the meeting.","一口食べてみないことには、美味しいかどうかわかりません。
hitokuchi tabete minai koto niwa, oishii ka douka wakarimasen.
Unless you try a bite, you won't know if it tastes good or not.","病院へ見舞いに行かないことには、彼の病状は分からない。
byouin e mimai ni ikanai koto ni wa, kare no byoujou wa wakaranai.
I won’t know his current condition unless I go to the hospital to visit him.","両方の話を聞いてみないことには、ケンかの原因が分からないでしょう。
ryouhou no hanashi o kiite minai koto ni wa, kenka no genin ga wakaranai deshou.
You won’t know the reason why they fought unless you hear both sides of the story.","実際に読まないことには、この小説のおもしろさはわからないだろう。
jissai ni yomanai koto niwa, kono shousetsu no omoshirosa wa wakaranai darou.
You won’t understand why this novel is interesting unless you read it."
なくはない / なくもない(naku wa nai / naku mo nai),it’s not that; I may (double negative),"Meaning 意味 it’s not that; I may (double negative)
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: double negative
How to use 使い方 Verb な い くはない くもない Noun + がな な-adjective + じゃな い-adjective + い くな",jlpt_n2,"自信がなくはないが、ただちょっと緊張している。
jishin ga nakuwa nai ga, tada chotto kinchou shite iru.
It’s not that I have no confidence, I’m just a little nervous.","息子は野菜を食べなくはないが、あまり好きではない。
musuko wa yasai o tabenaku wa naiga, amari sukide wanai.
It’s not that my son doesn’t eat vegetables, he just doesn’t like them very much.","あなたの気持ちは分からなくはないが、ただその行為には賛成できない。
anata no kimochi wa wakaranaku wa naiga, tada sono koii ni wa sansei dekinai.
It’s not that I don’t understand how you feel, I just can’t agree with that kind of action.","仕事に不満はないけど、給料は安いし、時には転職を考えなくもない。
shigoto ni fuman wa nai kedo, kyuuryou wa yasui shi, toki niwa tenshoku o kangaenaku mo nai.
I don't have any dissatisfaction with this job, but the salary is low and I may eventually consider changing jobs.","食欲がなくはないが、もう少し後で私は食事をしたいです。
shokuyoku ga naku wa naiga, mousukoshi atode watashi wa shokuji o shitai desu.
It’s not that I do not have an appetite but I would like to eat a little bit later."
何も～ない(nani mo~nai),nothing; (not) ~ at all; there’s no need to ~,"Meaning 意味 nothing; (not) ~ at all; there’s no need to ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: ～ない
How to use 使い方 なにも Verb/Noun/Adj (ない form) Related Kanji 漢字 N5 Kanji: 何 (nani) what",jlpt_n2,"私達はなにもいらない。
watashi tachi wa nani mo iranai.
We don't need anything.","彼女はなにも言わなかった。
kanojo wa nani mo iwana katta.
She did not say anything.","どのみち、何も聞こえなかった。
dono michi, nanimo kikoenakatta.
In any case, I couldn't hear anything.","彼はただ新聞を読むだけでなにもしなかった。
kare wa tada shinbun o yomu dake de nani mo shina katta.
He did nothing but read newspapers.","そのお店は混雑していたので、私はなにも買えなかった。
sono omise wa konzatsu shite ita node, watashi wa nani mo kaena katta.
That store was crowded so I couldn't buy anything."
なお(nao),still; yet​; furthermore; in addition ~,"Meaning 意味 still; yet​; furthermore; in addition ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
Tags: Japanese adverbs , Japanese conjunctions
How to use 使い方 なお phrase",jlpt_n2,"かなり多くの人々が今なおそれを信じている。
kanari ooku no hitobito ga ima nao sore o shinjiteiru.
Many people still believe that.","とても寒く、なお悪いことに、雨が降り始めた。
totemo samuku, nao warui koto ni, ame ga furi hajimeta.
It was very cold, and what was worse, it began to rain.","今度の打ち合わせは土曜日です。なお、時間は後ほどお伝えします。
kondo no uchiawase wa doyoubi desu. nao, jikan wa atohodo otsutae shimasu.
The meeting next time will be on Saturday. I’ll let you know about the exact time later.","あとで起こったことはなお悪かった。
ato de okotta koto wa nao warukatta.
What followed was worse.","この件の説明は以上です。なお、詳細についてプリントをご覧ください。
kono ken no setsumei wa ijou desu. nao, shousai ni tsuite purinto o goran kudasai.
I’m finished explaining this matter. Please look at the handout for details."
ねばならない(neba naranai),have to do; must; should ~,"Meaning 意味 have to do; must; should ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb ない ねばならない",jlpt_n2,"歯医者に行かねばならない。
haisha ni ikaneba naranai.
I must go to the dentist.","9時までに戻らねばならない。
9じまでにもどらねばならない。
9 ji made ni modoraneba naranai.","ビザが切れたので、国に帰らねばならない。
biza ga kireta node, kuni ni kaera neba naranai.
My visa expired so I have to go back to my home country.","来月から、転勤で北海道へ行かねばならない。
raigetsu kara, tenkin de hokkaidou e ikaneba naranai.
From next month, I will be changing jobs and have to go to Hokkaido.","地球を守るために、プラスチック製品を減らさねばならない。
chikyuu o mamoru tame ni, purasuchikku seihin o herasaneba naranai.
In order to help save the earth, we have to reduce the amount of plastic products."
にあたって(ni atatte),at the time; on the occasion of ~,"Meaning 意味 at the time; on the occasion of ~
example sentences
vocabulary list
related grammar
Level: JLPT N2
How to use 使い方 Verb (dictionary form) にあたって(は) にあたり Noun",jlpt_n2,"皆さん、JLPTを受けるにあたって、大切なことを伝えておきます。
minasan, JLPT o ukeru ni atatte, taisetsu na koto o tsutaete okimasu.
Everyone, I will tell you an important thing for when you take the JLPT exam.","アルバイトをするにあたっては、学業や体に無理のないようにすること。
arubaito o suru ni atattewa, gakugyou ya karada ni muri no nai youni suru koto.
If you are going to work part-time, make sure that it does not interfere with your studies or health.","結婚するにあたって、たくさんのお金を準備しなければならない。
keekon suru ni atatte, takusan no okane o junbi shinakereba naranai.
When you get married, you need to prepare a lot of money.","日本に留学するにあたって、行く前にしておくべきことは先輩に聞いた。
nihon ni ryuugaku suru ni atatte, iku mae ni shiteoku beki koto wa senpai ni kiita.
I asked my senior for things I should do before studying abroad in Japan.","試験を始めるにあたり、まずは注意事項を読んでおいてください。
shiken o hajimeru ni atari, mazu wa chuui jikou o yonde oite kudasai.
When starting the test, first read the important points."
