japanese_expression,english_meaning,grammar_structure,labels,example_1,example_2,example_3,example_4,example_5
または(matawa),both; or; otherwise​; choice between [A] or [B],"Meaning 意味 both; or; otherwise​; choice between [A] or [B]
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions
How to use 使い方 Noun-1 又は または Noun-2 Related Kanji 漢字 N1 Kanji: 又 (yuu, mata, mata-, mata(no-)) Meaning: or again, furthermore, on the other hand",jlpt_n4,"コーヒーまたはお茶からお選びください。
koohii matawa ocha kara o erabi kudasai.
Please choose from either coffee or tea.","日本語または英語で話せます。
nihongo matawa eigo de hanasemasu.
I can speak both Japanese and English.","電話またはメールで返事してください。
denwa matawa meeru de henji shite kudasai.
Please respond either by phone or email.","会場には駐車場がありません。電車又はバスをご利用ください。
kaijou ni wa chuushajou ga arimasen. densha matawa basu o goriyou kudasai.
There is no parking lot at the event location. Please come either by train or bus.","A社と契約するのか、またはB社と契約するのか、今週中に決めなければならない。
Aしゃとけいやくするのか、またはBしゃとけいやくするのか、こんしゅうじゅうにきめなければならない。
A sha to keiyaku suru no ka, matawa B sha to keiyaku suru no ka, konshuujuu ni kimenakareba naranai."
みたいだ(mitai da),like; similar to; resembling ~,"Meaning 意味 like; similar to; resembling ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (casual) みたい（だ） Noun + （だった） な-adjective + （だった） い-adjective",jlpt_n4,"夢みたいだ。
yume mitai da.
It's like a dream come true.","外は、夏みたいだよ。
soto wa, natsu mitai da yo.
It's like summer outside.","何となく雨みたいだ。
nantonaku ame mitai da.
It looks like it's going to rain.","彼は少し疲れてるみたいだ。
kare was sukoshi tsukareteru mitai da.
He looks a little tired.","どうやら食べすぎたみたいだ。
douyara tabesugita mitai da.
I'm afraid I've eaten too much."
みたいな(mitai na),"like, similar to ~","Meaning 意味 like, similar to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Noun みたいな + Noun Verb (casual form)",jlpt_n4,"私は、今日みたいな日が好きだ。
watashi wa, kyou mitai na hi ga suki da.
I like days like today.","私たちは家族みたいなものだ。
watashi tachi wa kazoku mitai na mono da.
We are like family.","あなたみたいな人はすごいと思う。
anata mitai na hito wa sugoi to omou.
I think people like you are great.","こんな子どもみたいなけんかはやめよう。
konna kodomo mitai na kenka wa yameyou.
Let's stop this childish fight.","彼女は男みたいな歩き方をする。
kanojo wa otoko mitai na aruki kata o suru.
She walks like a man."
みたいに(mitai ni),like; similar to ~,"Meaning 意味 like; similar to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 Verb (casual) みたいに + Verb / Adjective Noun",jlpt_n4,"子どもみたいに遊んだ。
kodomo mitai ni asonda.
I played like a kid.","私はお母さんみたいになりたい。
watashi wa okaasan mitai ni naritai.
I want to become like my mother.","彼女は男の子みたいに元気がいい。
kanojo wa otokonoko mitai ni genki ga ii.
She is energetic like a boy.","あなたみたいに美しい人は初めてだ。
anata mitai ni utsukushii hito wa hajimete da.
I've never seen anyone as beautiful as you.","彼女の心は氷みたいに冷たい。
kanojo no kokoro wa koori mitai ni tsumetai.
Her heart is as cold as ice."
な(na),don’t ~ (order somebody to not do something),"Meaning 意味 don’t ~ (order somebody to not do something)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Verb (dictionary form) な",jlpt_n4,"晩ごはんの前にデザートを食べるな。
bangohan no mae ni dezaato o taberu na.
Don't eat dessert before dinner!","ここは危ないから来るな！
koko wa abunai kara kuru na!
It's dangerous here, so stay away!","運転をするなら飲むな。
unten o suru nara nomu na.
If you're going to drive, don't drink.","大きな声を出すな。
ookina koe o dasu na.
Keep your voice down.","窓から外を見るな。勉強に集中しなさい。
mado kara soto o miru na. benkyou ni shuuchuu shinasai.
Don't look out the window. Concentrate on your work."
など(nado),such as; things like ~,"Meaning 意味 such as; things like ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Noun など",jlpt_n4,"私は小説や映画などが好きです。
watashi wa shousetsu ya eiga nado ga suki desu.
I like things like novels, movies, and so on.","私はノート、ペンなどが必要だ。
watashi wa nooto, pen nado ga hitsuyou da.
I need pens, notebooks and so on.","私はとても車などは買えない。
watashi wa totemo kuruma nado wa kaenai.
I can't afford to buy a car (or anything like it).","兄の部屋にはラジオやテレビなどがたくさんあります。
ani no heya niwa rajio ya terebi nado ga takusan arimasu.
In my older brother's room, he has a lot of things like a radio, tv, etc..","この動物園には好きな動物がたくさんいます。馬やイルカなどいます。
kono doubutsuen niwa suki na doubutsu ga takusan imasu. uma ya iruka nado imasu.
This zoo has a lot of animals that I like. Things like horses and dolphins, etc."
ながら(nagara),while; during; as; simultaneously,"Meaning 意味 while; during; as; simultaneously
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles , stem form grammar
How to use 使い方 Verb ます (stem form) ながら + [B]",jlpt_n4,"話を聞きながらメモします。
hanashi o kikinagara memo shimasu.
I took notes while listening to the story.","歩きながら話しましょう。
aruki nagara hanashimashou.
Let's talk while walking.","テレビを見ながら晩ごはんを食べます。
terebi o mi nagara bangohan o tabemasu.
I eat dinner while watching TV.","音楽を聞きながら料理します。
ongaku o kikinagara ryouri shimasu.
I listen to music while I cook.","勉強をしながら音楽を聞きます。
benkyou o shi nagara ongaku o kikimasu.
I listen to music while I study."
なければいけない(nakereba ikenai),must do something; have to do something,"Meaning 意味 must do something; have to do something
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～ない , expressing must do
How to use 使い方 Verb (ない form) な い ければいけない ければいけません",jlpt_n4,"早く寝なければいけない。
hayaku nenakereba ikenai.
I have to go to sleep early.","私も頑張らなければいけない。
watashi mo ganbaranakereba ikenai.
I have to do my best too.","私はすぐ答えなければいけない。
watashi wa sugu kotaenakereba ikenai.
I must answer right away.","私は友人をもっと信頼しなければいけない。
watashi wa yuujin o motto shinrai shinakereba ikenai.
I must place more trust in my friends.","あなたはお昼までに宿題を終わらせなければいけない。
anata wa o hiru made ni shukudai o owarasenakereba ikenai.
You need to finish your homework by noon."
なければならない(nakereba naranai),must do something; have to do something,"Meaning 意味 must do something; have to do something
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ～ない , expressing must do
How to use 使い方 Verb (ない form) な い ければならない ければなりません",jlpt_n4,"薬を飲まなければなりません。
kusuri o noma nakereba narimasen.
I/you need to take my/your medicine.","宿題をしなければならない。
shukudai o shi nakereba naranai.
I/you need to do my/your homework.","今そこに行かなければなりませんか。
ima soko ni ikana kereba narimasen ka.
Do I have to go there now?","母を手伝わなければならない。
haha o tetsudawa nakereba naranai.
I have to help my mom.","明日は早起きしなければならない。
ashita wa hayaoki shinakereba naranai.
I have to get up early tomorrow."
なら(nara),if; in the case that ~,"Meaning 意味 if; in the case that ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: auxiliary , Japanese conjunctions , Japanese particles
How to use 使い方 Verb (casual form) + (の) なら Noun な-adjective + (の) い-adjective + (の)",jlpt_n4,"もし違うなら。
moshi chigau nara.
What if you're wrong?","それなら問題ありません。
sore nara mondai arimasen.
If that's the case, then there are no problems.","やるなら今しかない。
yaru nara ima shika nai.
If you're gonna do it, it's now or never.","日本語を習いたいのなら、いい先生を紹介してあげる。
nihongo o naraitai no nara, ii sensei o shoukai shite ageru.
If you want to learn Japanese I can introduce you to a good teacher.","君なら必ずできる。
kimi nara kanarazu dekiru.
Since it's you, you can definitely do it!"
なさい(nasai),do this (soft/firm command),"Meaning 意味 do this (soft/firm command)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: command form expressions
How to use 使い方 Verb ます (stem form) なさい な (conversation)",jlpt_n4,"まず、質問に答えなさい。
mazu, shitsumon ni kotaenasai.
First, answer my question.","明日、学校に行くから、早く寝なさい！
ashita, gakkou ni iku kara, hayaku ne nasai!
You've got school tomorrow so hurry up and go to bed.","うるさいだよ。静かにしなさい！
urusai da yo. shizuka ni shi nasai!
You're being really noisy, be quiet!","野菜は体にいいからもっと食べなさい！
yasai wa karada ni ii kara motto tabe nasai!
Vegetables are good for your body, so eat up.","明日の9時に私に電話しなさい！
ashita no 9 ji ni watashi ni denwa shi nasai!
Give me a call tomorrow at 9 o'clock."
なさる(nasaru),to do (honorific),"Meaning 意味 to do (honorific)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: honorific expressions
How to use 使い方 する (changes to) なさる します (changes to) なさいます して (changes to) なさって",jlpt_n4,"それからどうなさいました？
sore kara dou nasai mashita?
What happened after that?","お飲み物は何になさいますか？
onomimono wa nani ni nasaimasu ka.
What would you like to drink?","どうかなさいましたか？
dou ka nasai mashita ka?
Is there something wrong?","今年の夏休みはどうなさるつもりですか。
kotoshi no natsuyasumi wa dou nasaru tsumori desu ka.
What will you do this summer holiday?","その損を私のせいになさろうとするんですか。
sono son o watashi no sei ni nasarou to surun desu ka.
Are you blaming me for this loss?"
に気がつく(ni ki ga tsuku),to notice; to realize,"Meaning 意味 to notice; to realize
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (casual) + こと に気がつく に気がついた Noun Related Kanji 漢字 N5 Kanji: 気 (ki) spirit, air",jlpt_n4,"彼女は電車の中にカサを忘れたことに気がついた。
kanojo wa densha no naka ni kasa o wasureta koto ni ki ga tsuita.
She realized she had left her umbrella inside the train.","私はタクシーを降りる時、財布がないことに気がついた。
watashi wa takushii o oriru toki, saifu ga nai koto ni ki ga tsuita.
When I got out of the taxi, I realized I didn't have my wallet.","彼が自分の間違いに気がつくのは時間をかからないだろう。
kare ga jibun no machigai ni ki ga tsuku no wa jikan o kakaranai darou.
It likely won't take much time for him to realize his own mistake.","空港に着いたときにフライトのチケットを忘れたことに気がついた。
kukou ni tsuita toki ni furaito no chiketto o wasureta koto ni ki ga tsuita.
When I arrived at the airport, I realized that I had forgotten my flight ticket.","ドアを閉めてから、ベッドに携帯電話を置いていたことに気がついた。
doa o shimete kara, beddo ni keitai denwa o oiteita koto ni ki ga tsuita.
After shutting the door, I realized I had left my cell phone on my bed."
に見える(ni mieru),to look; to seem; to appear,"Meaning 意味 to look; to seem; to appear
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (て form) 見える みえる Verb (casual, non-past) + ように Noun +（のよう）に な-adjective + に い-adjective + い く",jlpt_n4,"同じに見える。
onaji ni mieru.
They look the same.","彼はアメリカ人に見える。
kare wa amerika jin ni mieru.
He looks like he is American.","彼女は先生にみえる。
kanojo wa sensei ni mieru.
She looks like a teacher.","その人はとてもお金持ちにみえる。
sono hito wa totemo okane mochi ni mieru.
That person appears to be very rich.","寝てないように見える。
netenai you ni mieru.
You look like you didn't sleep much."
にする(ni suru),to make something ~,"Meaning 意味 to make something ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 な-adjective な にする にします にして にした",jlpt_n4,"もう少し、静かにしてください。
mou sukoshi, shizukani shite kudasai.
Please be a bit more quiet.","この写真を大切にする。
kono shashin o taisetsu ni suru.
I will treasure this picture.","歯医者は私の歯をきれいにした。
haisha wa watashi no ha o kirei ni shita.
The dentist cleaned my teeth.","先生は、テストをもっと簡単にしました。
sensei wa, tesuto o motto kantan ni shimashita.
The teacher made the test easier.","この絵は彼女を有名にするでしょう。
kono e wa kanojo o yuumei ni suru deshou.
This picture will probably make her famous."
にくい(nikui),difficult to do ~,"Meaning 意味 difficult to do ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar , suffix
How to use 使い方 Verb ます (stem form) にくい",jlpt_n4,"この質問には答えにくいです。
kono shitsumon niwa kotaenikui desu.
This question is difficult to answer.","この本は字が小さくて読みにくいです。
kono hon wa ji ga chiisakute yomi nikui desu.
This books print is too small, it's difficult to read.","この漢字は覚えにくいです。
kono kanji wa oboe nikui desu.
This kanji is difficult to remember.","この自転車は古くて乗りにくいです。
kono jitensha wa furukute norinikui desu.
This bicycle is old and difficult to ride.","魚は骨が多くて食べにくいだ。
sakana wa hone ga ookute tabe nikui da.
Fish have a bunch of bones and are difficult to eat."
の中で(no naka de),in; among ~,"Meaning 意味 in; among ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 Noun の中で",jlpt_n4,"心の中ではこれを分かっていた。
kokoro no naka de kore o wakatteita.
I know this in my heart.","病院の中で、待ちますか。
byouin no naka de, machimasu ka?
Will you wait inside the hospital?","私は今日は車の中で寝ました。
watashi wa kyou wa kuruma no naka de nemashita.
I slept in my car today.","私は頭の中でも日本語で考える。
watashi wa atama no naka demo nihongo de kangaeru.
I even think in Japanese.","私は季節の中で秋が好きです。
watashi wa kisetsu no naka de aki ga suki desu.
Out of all the seasons, I like autumn."
のに(noni),"although, in spite of, even though ~","Meaning 意味 although, in spite of, even though ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (casual form) のに Noun + な な-adjective + な い-adjective",jlpt_n4,"まだ20時なのに、とても眠い。
mada 20 ji nano ni, totemo nemui.
I'm really tired even though it's still only 8PM.","なぜ、彼らは冬なのに泳ぐのでしょうか？
naze, karera wa fuyu na noni oyogu no deshou ka.
Why will they swim even though it's winter?","約束をしたのに、彼女は来ませんでした。
yakusoku o shita noni, kanojo wa kimasen deshita.
Even though she promised, she didn't come..","今日は日曜日なのに、働かなければなりません。
kyou wa nichiyoubi na noni, hataraka nakereba narimasen.
I have to work today even though it is Sunday..","彼女がきれいなのに彼氏がいません。
kanojo ga kirei na noni kareshi ga imasen.
Although she is very beautiful, she doesn't have a boyfriend."
のに(noni),to (do something); in order to ~,"Meaning 意味 to (do something); in order to ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Verb (dictionary form) のに",jlpt_n4,"始めるのに遅すぎることはない。
hajimeru no ni ososugiru koto wa nai.
It's never too late to start.","家に帰るのに3時間かかりました。
ie ni kaeru noni sanjikan kakarimashita.
It took 3 hours to return home.","本を読むのに時間がかかる。
hon o yomu no ni jikan ga kakaru.
Reading books takes time.","勉強するのに、それが必要だ。
benkyou suru no ni, sore ga hitsuyou da.
I need it to study.","考えるのにも疲れたし。
kangaeru noni mo tsukareta shi.
I am tired of thinking."
のは〜だ(nowa~da),[A] is [B]; the reason for [A] is [B],"Meaning 意味 [A] is [B]; the reason for [A] is [B]
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese particles
How to use 使い方 Verb (casual) のは ～だ ～です Noun + な な-adjective + な い-adjective",jlpt_n4,"毎日、新しい単語を覚えるのは大変です。
mainichi, atarashii tango o oboeru nowa taihen desu.
It is difficult to memorize new vocabulary every day.","私たちは結婚を決めたのは子どもができたからです。
watashi tachi wa kekkon o kimeta nowa kodomo ga dekita kara desu.
We decided to get married because we were going to have a baby.","私が生まれたのは北海道の小さな村です。
watashi ga umareta nowa hokkaidou no chiisa na mura desu.
I was born in a small village in Hokkaido.","このメンバーの中に独身なのは田中さんだけです。
kono menbaa no naka ni dokushin na nowa Tanaka san dake desu.
From these members, the only one who is single is Tanaka.","会議が始まるのは10時です。忘れないようにメモしたほうがいいよ。
kaigi ga hajimaru nowa 10 ji desu. wasurenai youni memo shita hou ga ii yo.
The meeting begins at 10 o'clock. It would be best to write a memo so you don't forget."
お～ください(o~kudasai),please do ~ (honorific),"Meaning 意味 please do ~ (honorific)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: honorific expressions , stem form grammar
How to use 使い方 お + Verb ます (stem form) ください お/ご + Noun (action)",jlpt_n4,"ここでお待ちください。
koko de omachi kudasai.
Please wait here.","ここにお名前をお書きください。
koko ni onamae o okaki kudasai.
Please write your name here.","それを水と一緒にお飲みください。
sore o mizu to issho ni onomi kudasai.
Take that together with water.","あちらからお入りください。
achira kara ohairi kudasai.
Please enter from over there.","このボールペンをお使いください。
kono poorupen o otsukai kudasai.
Please use this ball pen."
お～になる(o~ni naru),to do (honorific),"Meaning 意味 to do (honorific)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: honorific expressions , stem form grammar
How to use 使い方 お + Verb ます (stem form) になる になります お/ご + Noun",jlpt_n4,"何をお飲みになりますか。
nani o onomi ni narimasu ka.
What would you like to have to drink?","お座りになりませんか。
osuwari ni narimasen ka?
Do you want to sit down?","先生は何時ごろお戻りになりますか?
sensei wa nanji goro omodori ni narimasuka?
Teacher, around what time will you return?","何をお食べになるのですか。
nani o otabe ni naru no desu ka.
What will you have to eat?","どうか、ぜひお入りになってください。
douka, zehi ohairi ni natte kudasai.
Do come in, please."
おきに(oki ni),"repeated at intervals, every ~","Meaning 意味 repeated at intervals, every ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: suffix
How to use 使い方 Noun (measurable) おきに",jlpt_n4,"電車は5分おきに走っています。
densha wa 5 fun oki ni hashitteimasu.
The trains run every five minutes.","このバスは15分おきに出ている
kono basu wa 15 fun okini dete iru.
This bus leaves every 15 minutes.","彼は数日おきに来る。
kare wa suujitsu oki ni kuru.
He comes here every few days.","この道には5メートルおきに木が植えられている.
kono michi niwa 5 meetoru okini ki ga uerarete iru.
Trees align this road every 5 meters.","この薬は2時間おきに飲んでください。
kono kusuri wa 2 jikan okini nonde kudasai.
Take this medicine every 2 hours."
終わる(owaru),to finish; to end~,"Meaning 意味 to finish; to end~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 終わる 終わらない 終わった etc.. Related Kanji 漢字 N4 Kanji: 終 (shuu, owaru) end, finish",jlpt_n4,"みんなが朝食を食べ終わるまで待ちましょう。
minnna ga choushoku o tabe owaru made machimashou.
Let's wait until everyone has finished eating breakfast.","そのゲームをやり終わるまでに5時間くらいかかる。
sono geemu o yari owaru made ni 5 jikan kurai kakaru.
It takes about 5 hours to finish that game.","彼が話し終わるとみんな黙っていた。
kare ga hanashi owaru to minna damatteita.
There was silence when he finished speaking.","仕事をし終わったらすぐ行く。
shigoto o shi owattara sugu iku.
I'll go/come as soon as I finish work.","パソコンを使い終わったら、シャットダウンをしてください。
pasokon o tsukai owattara, shatto daun o shite kudasai.
Once you've finished using the computer, please turn it off."
らしい(rashii),it seems like; I heard; apparently ~,"Meaning 意味 it seems like; I heard; apparently ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: suffix
How to use 使い方 Verb (casual form) らしい らしく らしくない Noun な-adjective い-adjective",jlpt_n4,"雨らしい。
ame rashii.
It looks like rain / looks like it's gonna rain.","男らしい。
otoko rashii.
Manly (like a man)","女らしい。
onna rashii.
Womanly; feminine (like a woman)","学生らしくもっと勉強しなさい。
gakusei rashiku motto benkyou shina sai.
Study more like a real student.","今日は君らしくないな。
kyou wa kimi rashikunai na.
You don't seem like yourself today."
さ(sa),-ness​ ; nominalizer for adjective,"Meaning 意味 -ness​ ; nominalizer for adjective
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: suffix
How to use 使い方 な-adjective さ い-adjective + い",jlpt_n4,"背の高さはどれぐらいですか？
se no takasa wa dore gurai desu ka?
How tall are you?","私は、ワサビの辛さが大好きです。
watashi wa, wasabi no karasa ga daisuki desu.
I love the spiciness of wasabi.","この池の深さはどのぐらいですか？
kono ike no fukasa wa dore gurai desu ka?
How deep is this pond?","新しい橋の長さは3,911メートルです。
atarashii hashi no nagasa wa 3,911 meetoru desu.
The length of the new bridge is 3,911 meters.","彼女の部屋の広さは畳で６畳くらいです。
kanojo no heya no hirosa wa tatami de 6 jou kurai desu.
The space of her room is about 6 tatami mats (unit of measurement for Japanese rooms)."
さっき(sakki),some time ago; just now,"Meaning 意味 some time ago; just now
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 さっき Sentence",jlpt_n4,"さっきまで天気がよかったですが、今は大雨です。
sakki made tenki ga yokatta desu ga, ima wa ooame desu.
The weather was fine just a moment ago, but now there's heavy rain..","さっき起きたばかりで、まだ眠いです。
sakki okita bakari de, mada nemui desu.
I just woke up, but am still sleepy.","あなたはさっき何か言ったでしょうね。聞こえなかったからもう一回教えてくれる？
anata wa sakki nani ka itta deshou ne. kikoena katta kara mou ikkai oshiete kureru?
What did you say earlier? I couldn't hear you, so could you tell me one more time?","さっき覚えた漢字を、もう忘れてしまいました。
sakki oboeta kanji o, mou wasurete shimaimashita.
I've already forgotten the kanji I just memorized not too long ago.","ハサミが見あたらない。さっき見たときは、机の上にあったはずなのに。
hasami ga miataranai. Sakki mita toki wa, tsukue no ue ni atta hazu na noni.
I can't find the scissors.. I saw them just a little while ago on top of the desk, but..."
させられる(saserareru),causative-passive; to be made to do something,"Meaning 意味 causative-passive; to be made to do something
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (causative form させ る ) られる くる こさせられる やる やらせられる",jlpt_n4,"仕事を辞めさせられた。
shigoto o yame saserareta.
I was forced to quit my job.","息子は退学させられた。
musuko wa taigaku saserareta.
My son was expelled from school.","彼女に2時間も待たせられた。
kanojo ni 2 jikan mo mata serareta.
She made me wait over 2 hours.","その映画は考えさせられる。
sono eiga wa kangae saserareru.
That movie makes you think.","毎日母に野菜を食べさせられる。
mainichi haha ni yasai o tabe saserareru.
Every day, my mother forces me to eat vegetables."
させる(saseru),causative form; to make/let somebody do something,"Meaning 意味 causative form; to make/let somebody do something
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Ru-verb る -> させる U-verb (ない form) ない -> せる する させる やる やらせる くる こさせる",jlpt_n4,"母は私に自分の部屋を片付けさせた。
haha wa watashi ni jibun no heya o katadzuke saseta.
My mother made me clean up my own room.","この仕事は部下にやらせます。
kono shigoto wa buka ni yarasemasu.
I'll make one of my subordinates do this task.","君を泣かせるつもりはなかった！
kimi o nakaseru tsumori wa nakatta!
I didn't mean to make you cry!","僕にやらせてください
boku ni yarasete kudasai.
Please allow me to do it.","息子はアニメを見たがっていますが、宿題が終わっていないので、見させません。
musuko wa anime o mitagatteimasu ga, shukudai ga owatteinai node, misasemasen.
My son wants to watch anime, but he hasn't finished his homework, so I won't let him watch it.."
させてください(sasete kudasai),please let me do,"Meaning 意味 please let me do
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 Verb (causative て form) ください",jlpt_n4,"質問させてください。
shitsumon sasete kudasai.
Please allow me to ask you a question.","私のことをあなたに話させてください。
watashi no koto o anata ni hanasasete kudasai.
Please let me tell you about myself.","ちょっと調子が悪いので、早く帰らせてください。
chotto choushi ga warui node, hayaku kaerasete kudasai.
I'm not feeling well, so please let me head home early.","返事をする前にちょっと考えさせてください。
henji o suru mae ni chotto kangae sasete kudasai.
Please let me think a bit before I give you my answer.","私に何かお手伝いさせてください。
watashi ni nani ka otetsudai sasete kudasai.
Please let me help with something."
し(shi),and; and what’s more ~ (emphasis),"Meaning 意味 and; and what’s more ~ (emphasis)
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (casual) し Noun + だ な-adjective + だ い-adjective",jlpt_n4,"このコートは色がきれいだし、好きなデザインだし。買いたいですよ。
kono kooto wa iro ga kirei da shi, sukina dezain da shi. kaitai desu yo.
This coat has a beautiful color and I like the design. I really want to buy it.","今日は週末だったし、天気が良かったので、公園は人が多かったです。
kyou wa shuumatsu datta shi, tenki ga yokatta node, kouen wa hito ga ookatta desu.
It's the weekend and the weather is nice so the park was packed with people","彼は勉強ができるしスポーツも上手だし、私の好きなタイプだ。
kare wa benkyou ga dekiru shi, supo-tsu mo jouzu da shi, watashi no suki na taipu da.
He's smart and good at sports, definitely my type.","彼女は料理は上手いし、性格はいいし、理想の奥さんだ。
kanojo wa ryouri wa umai shi, seikaku wa ii shi, risou no okusan da.
She cooks well and has a good personality, she's the ideal wife.","お腹が空いたし、のどがかわいたし、何か食べたいです。
onaka ga suita shi, nodo ga kawaita shi, nani ka tabetai desu.
I'm hungry and thirsty, I want to eat something."
そんなに(sonna ni),so much; so; like that,"Meaning 意味 so much; so; like that
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese adverbs
How to use 使い方 そんなに Verb な-adjective い-adjective",jlpt_n4,"昨日はそんなに忙しくなかった。
kinou wa sonna ni isogashiku nakatta.
Yesterday was not so busy.","日本語はそんなに難しくないよ。
nihongo wa sonna ni muzukashi kunai yo.
Japanese is not that difficult..","肉はそんなに好きではありません。
niku wa sonna ni suki dewa arimasen.
I don’t like meat that much.","そんなにがっかりするな。もう一度やり直しなさい。
sonna ni gakkari suru na. mou ichido yarinaoshi nasai.
Don’t be so disappointed. Try again one more time.","私のことがそんなに大切なの？
watashi no koto ga sonna ni taisetsu na no.
Do I really mean that much to you?"
それでも(sore demo),but still; and yet; even so ~,"Meaning 意味 but still; and yet; even so ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: Japanese conjunctions
How to use 使い方 Phrase 1 それでも Phrase 2",jlpt_n4,"それでもいいですか？
sore demo ii desu ka?
Is that still OK with you?","それでもあなたのことが好き。
sore demo anata no koto ga suki.
I still love you anyway.","外は大雨だ。それでも出かけないといけない。
soto wa ooame da. sore demo dekakenai to ikenai.
There's heavy rain outside, but even so I still need to head out.","彼はテストの準備をしていなかった。それでも合格した。
kare wa tesuto no junbi o shite inakatta. sore demo goukaku shita.
He didn't prepare for the test, but even so he still passed..","あの大学は絶対無理だと言われた。それでも僕は受けるつもりだ。
ano daigaku wa zettai muri dato iwareta. sore demo boku wa ukeru tsumori da.
Everyone says that university is impossible to get into. Even so, I plan to apply."
そうに / そうな(sou ni / sou na),seems like; looks like ~,"Meaning 意味 seems like; looks like ~
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: stem form grammar , suffix
How to use 使い方 Verb ます (stem form) そうに + Noun/Verb そうな + Noun/Verb な-adjective + だ い-adjective + い",jlpt_n4,"楽しそうに見える。
tanoshi sou ni mieru.
You look like you are having fun.","楽しそうに見えた。
tanoshi sou ni mieta.
You looked like you were having fun.","彼は忙しそうに見えます。
kare wa isogashi sou ni miemasu.
He looks busy.","彼はつまらなそうに映画を見ている。
kare wa tsumarana sou ni eiga o miteiru.
He seems really bored watching the movie.","彼女は楽しそうな人です。
kanojo wa tanoshi sou na hito desu.
She seems like a very fun person."
たところ(ta tokoro),"just finished doing, was just doing","Meaning 意味 just finished doing, was just doing
example sentences
vocabulary list
related grammar
Level: JLPT N4
Tags: ところ expressions
How to use 使い方 Verb (た form) ところ",jlpt_n4,"今起きたところです。
ima okita tokoro desu.
I just woke up.","昼ごはんを食べたところです。
hirugohan o tabeta tokoro desu.
I was just eating lunch.","アメリカから日本に戻ったところです。
amerika kara nihon ni modotta tokoro desu.
I just returned to Japan from America.","駅に着いた時、ちょうど電車が出たところでした。
eki ni tsuita toki, choudo densha ga deta tokoro deshita.
I arrived at the station just as the train left.","あなたのことを話したところだよ。
anata no koto o hanashita tokoro da yo.
We were just talking about you."
他動詞 & 自動詞(tadoushi & jidoushi),Transitive & Intransitive Verbs,"Meaning 意味 Transitive & Intransitive Verbs
example sentences
vocabulary list
related grammar
Level: JLPT N4
How to use 使い方 see rules below",jlpt_n4,,,,,
