japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
代わりに(kawari ni),instead of; as a substitute for​; in exchange for; in return for,"Meaning 意味 instead of; as a substitute for​; in exchange for; in return for
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions
How to use 使い方 Verb (casual) 代わりに Noun + の その Related Kanji 漢字 N4 Kanji: 代 (dai, kawari) substitute, change",jlpt_n3,,"私が部長の代わりに出張に行きます。
watashi ga buchou no kawari ni shucchou ni ikimasu.
I will go on a business trip on behalf of my manager.","今朝はコーヒーの代わりにお茶を飲んだ。
kesa wa koohii no kawari ni ocha o nonda.
This morning, I drank tea instead of coffee.","昨日残業した代わりに、今日は少し早く帰っていいと言われた。
kinou zangyou shita kawari ni, kyou wa sukoshi hayaku kaette ii to iwareta.
In exchange for working overtime yesterday, I was told I could leave a little earlier today.","今日は仕事へ車で行く代わりに自転車で行った。
kyou wa shigoto e iku kawari ni jitensha de itta.
Today, instead of going to work by car, I went by bicycle.","お箸がないので、その代わりにフォークを使う。
ohashi ga nai no de, sono kawari ni fooku o tsukau.
Since I do not have any chopsticks, I will use a fork instead"
結果(kekka),as a result of; after ~,"Meaning 意味 as a result of; after ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Verb (casual, past) 結果 けっか Noun + の その Related Kanji 漢字 N2 Kanji: 結 (ketsu, musubu) Meaning: tie, bind, contract N3 Kanji: 果 (ka, hatasu) fruit",jlpt_n3,,"彼は仕事をサボった結果として首になった。
kare wa shigoto o sabotta kekka toshite kubi ni natta.
As a result of him skipping work, he was fired.","みんなで相談した結果、今回は参加しないことにした。
minna de soudan shita kekka, konkai wa sanka shinai koto ni shita.
After consulting with everyone, I've decided to not participate this time.","ほとんど勉強をしなかった。その結果、試験に落ちてしまった。
hotondo benkyou o shinakatta. sono kekka, shiken ni ochite shimatta.
I barely studied. As a result, I failed my exam.","これは君の努力の結果だと思います。
kore wa kimi no doryoku no kekka da to omoimasu.
I think this is a result of your hard effort.","毎日ご飯の量を減らした結果、1ヶ月で3キロ体重が減った。
mainichi gohan no ryou o herashita kekka, ikkagetsu de san kiro taijuu ga hetta.
As a result of reducing the amount of food I eat every day, I lost 3 kilograms after 1 month."
結局(kekkyoku),after all; eventually; in the end ~,"Meaning 意味 after all; eventually; in the end ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 (phrase) 結局（は） conclusion Related Kanji 漢字 N2 Kanji: 結 (ketsu, musubu) Meaning: tie, bind, contract N3 Kanji: 局 (kyoku) Meaning: bureau, board, office",jlpt_n3,,"結局彼はそれを買わなかった。
kekkyoku kare wa sore o kawanakatta.
He didn't buy it in the end.","友人から何度も誘われたが、結局行かないことにした。
yuujin kara nando mo sasowareta ga, kekkyoku ikanai koto ni shita.
I was invited by my good friend countless times, but ultimately decided not to go.","私たちは結局この試合に負けてしまった。
watashitachi wa kekkyoku kono shiai ni makete shimatta.
In the end, we lost this match.","彼は働きすぎて、結局は病気になってしまった。
kare wa hatarakisugite, kekkyoku wa byouki ni natte shimatta.
He worked so hard that eventually he made himself ill.","お昼は何を食べようかと考えていたけど、結局ハンバーガーにした。
ohiru wa nani o tabeyou ka to kangaeteita kedo, kekkyoku hanbaagaa ni shita.
I was thinking about what I should eat for lunch, but ended up getting a hamburger."
決して～ない(kesshite~nai),never; by no means ~,"Meaning 意味 never; by no means ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ～ない , Japanese adverbs
How to use 使い方 決して Verb (ない form) Noun + ではない な-adjective + ではない い-adjective + い くない",jlpt_n3,,"あなたのことは決して忘れません。
anata no koto wa kesshite wasuremasen.
I could never forget you.","私は決して夢をあきらめない。
watashi wa kesshite yume o akiramenai.
I’ll never give up on my dream.","この部屋には決して入ってはいけませんよ。
kono heya ni wa kesshite haitte wa ikemasen yo.
You must never enter this room under any circumstances.","私はタバコは決して吸いません。
watashi wa tabako wa kesshite suimasen.
I definitely do not smoke cigarettes.","決してあなたは一人じゃありません。いつでも私に相談してくださいね。
kesshite anata wa hitori jaarimasen. itsu demo watashi ni soudan shite kudasai ne.
You are never alone. Feel free to talk to me at any time."
きり(kiri),only; just; since; after ~,"Meaning 意味 only; just; since; after ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles
How to use 使い方 Verb (た form) きり っきり Noun",jlpt_n3,,"私は一人きりで暮らすのが嫌だ。
watashi wa hitori kiri de kurasu no ga iya da.
I don't want to live all alone.","二人っきりで話をしたいです。
futari kkiri de hanashi o shitai desu.
I want to talk privately with you, just the two of us.","彼女に会ったのは１回きりです。
kanojo ni atta no wa ikkai kiri desu.
I've only met her one time.","今日は寒いから、Ｔシャツ一枚きりで外に出たら寒いよ。
kyou wa samui kara, t shatsu ichimai kiri de soto ni detara samui yo.
It's cold out today, so if you go out with just one t-shirt you're gonna be cold.","彼女とは別れたきり、一度も会っていない。
kanojo to wa wakareta kiri, ichido mo atteinai.
I haven't met with her at all since we broke up."
切る(kiru),to do something completely to the end,"Meaning 意味 to do something completely to the end
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 切る 切れる Related Kanji 漢字 N4 Kanji: 切 (setsu, kiru) cut",jlpt_n3,,"どうしてそう言い切れるのですか。
doushite sou ii kireru no desu ka?
How can you say that?","長い小説を2日間で読み切った。
nagai shousetsu o futsukakan de yomikitta.
I finished reading the long novel in two days.","お小遣いを使い切ってしまった。
okozukai o tsukaikitte shimatta.
I spent all my pocket money.","今日はもう魚を全部売り切れた。
kyou wa mou sakana o zenbu uri kireta.
I've already sold all of the fish for today.","どんなに食べ物が多くても食べ切れるぐらいお腹すいた。
donnani tabemono ga ookutemo tabe kireru gurai onaka suita.
I was so hungry that I could eat all the food, regardless of how much there may be."
込む(komu),to do something for a long time or to move something inside,"Meaning 意味 to do something for a long time or to move something inside
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: stem form grammar
How to use 使い方 Verb ます (stem form) 込む こむ Related Kanji 漢字 N3 Kanji: 込 (komu) Meaning: crowded, mixture",jlpt_n3,,"この紙に必要な情報を書き込んでください。
kono kami ni hitsuyou na jouhou o kakikonde kudasai.
Please write the necessary information on this paper.","あなたの口座にお金を振り込んだよ。
anata no kouza ni okane o furikonda yo.
I transferred the money to your account.","すみません、この商品をどこに入れ込んだほうがいいですか。
sumimasen, kono shouhin o doko ni irekonda hou ga ii desu ka?
Sorry, where should I put this product?","クレジットカードで支払ったら、ここにカードを差し込んでください。
kurejitto kaado de shiharattara, koko ni kaado o sashikonde kudasai.
If you will pay by credit card, insert your card here.","この薬の使い方は鼻から吸い込むことです。
kono kusuri no tsukaikata wa hana kara suikomu koto desu.
This medicine is used by breathing it in through your nose."
こそ(koso),for sure (emphasize preceding word); precisely; definitely ~,"Meaning 意味 for sure (emphasize preceding word); precisely; definitely ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles
How to use 使い方 Noun こそ",jlpt_n3,,"これこそ望むところです。
kore koso nozomu tokoro desu.
This is the very thing I want.","こちらこそありがとうございます。
kochira koso arigatou gozaimasu.
It is I that should be saying thank you.","今年こそJLPTに受かりたい。
kotoshi koso JLPT ni ukaritai.
This year I want to finally pass the JLPT.","これこそ私がずっと探していたものです。
kore koso watashi ga zutto sagashiteita mono desu.
I've been searching forever for this!","今度こそ試合に勝ちたいです。
kondo koso shiai ni kachitai desu.
This time for sure I want to win this match!"
こと(koto),(must) do,"Meaning 意味 (must) do
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: command form expressions , expressing must do , Japanese particles , こと expressions
How to use 使い方 Verb (dictionary form) こと Verb (ない form)",jlpt_n3,,"大声を出さないこと。
oogoe o dasanai koto.
Don't speak with a loud voice.","晩ごはんの前にデザートを食べないこと。
bangohan no mae ni dezaato o tabenai koto.
No eating dessert before dinner.","お金を大切にすること。
okane o taisetsu ni suru koto.
Use your money wisely.","休むときは、必ず学校に連絡すること。
yasumu toki wa, kanarazu gakkou ni renraku suru koto.
You must contact the school when you want to take a day off.","どうしても必要な場合以外には使わないこと。
doushitemo hitsuyou na baai igai ni wa tsukawanai koto.
It should not be used unless absolutely necessary."
ことから(koto kara),from the fact that ~,"Meaning 意味 from the fact that ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: こと expressions
How to use 使い方 Verb (casual) ことから Noun + である/だった な-adjective + である/だった い-adjective",jlpt_n3,,"道路が濡れていることから、雨が降ったということが分かる。
dourou ga nurete iru koto kata, ame ga futta touiu koto ga wakaru.
Considering the ground is wet, I know that it must have rained.","教室で席が隣だったことから友人になった。
kyoushitsu de seki ga tonari datta koto kara yuujin ni natta.
We became good friends from the fact that our seats were right next to each other in the classroom.","日本語能力試験のN3に合格していないことから、彼は日本に行くことができない。
nihongo nouryoku shiken no N3 ni goukaku shiteinai koto kara, kare wa nihon ni iku koto ga dekinai.
From the fact that he hasn't passed the JLPT N3, he is not able to go to Japan.","毛の色が白いことからシロという名前がつけられる犬や猫は多い。
ke no iro ga shiroi koto kara shiro toiu namae ga tsukerareru inu ya neko wa ooi.
Many dogs and cats are named ""Shiro"" (white) from the fact that their fur color is white.","この問題は緊急性が低いことから、今まであまり注目されてこなかった。
kono mondai wa kinkyuusei ga hikui koto kara, ima made amari chuumoku sarete konakatta.
From the fact that this problem is of low urgency, it has not been given much attention until now."
ことになっている(koto ni natteiru),"expresses a standard, rule or expectation","Meaning 意味 expresses a standard, rule or expectation
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: こと expressions
How to use 使い方 Verb (dictionary form) Verb (ない form) ことになっている ことになっています Noun + という",jlpt_n3,,"この図書館では2週間まで本が借りられることになっています。
kono toshokan dewa 2 shuukan made hon ga karirareru koto ni natte imasu.
At this library, you can borrow books for up to 2 weeks.","日本では、車は左側を走ることになっている。
nihon dewa, kuruma wa hidari gawa o hashiru koto ni natte iru.
In Japan, cars drive on the left side of the road.","授業中は、携帯電話を使ってはいけないことになっている。
jugyou chuu wa, keitai denwa o tsukattewa ikenai koto ni natte iru.
Cellphones are not allowed to be used during class.","60点以上が合格ということになっている。
60 ten ijou ga goukaku toiu koto ni natte iru.
Over 60 points is a passing score.","この部屋には、関係者以外入ってはいけないことになっている。
kono heya niwa, kankeisha igai haitte wa ikenai koto ni natte iru.
Only authorized personnel are allowed to enter this room."
ことは～が(koto wa~ga),although; but ~,"Meaning 意味 although; but ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions , こと expressions
How to use 使い方 Verb (casual) ことは same verb が な-adj. + な same な-adj. い-adj. same い-adj.",jlpt_n3,,"パーティーは行けることは行けるが、たぶん1時間くらい遅刻する。
paatii wa ikeru koto wa ikeru ga, tabun 1 jikan kurai chikoku suru.
I can go to the party, but I will probably be about 1 hour late.","N3の勉強をしたことはしたが、合格できるか自信がない。
N3のべんきょうをしたことはしたが、ごうかくできるかじしんがない。
N3 no benkyou o shita koto wa shita ga, goukaku dekiru ka jishin ga nai.","新しいゲームも面白いことは面白いが、昔のゲームのほうが好きだ。
atarashii geemu mo omoshiroi koto wa omoshiroi ga, mukashi no geemu no hou ga suki da.
New games are still interesting, but I prefer older games.","日本語は話せることは話せるんですが、日常会話しかできません。
nihongo wa hanaseru koto wa hanaserun desuga, nichijou kawa shika dekimasen.
I can speak Japanese, but can only do daily conversation stuff.","このレストランの食事はおいしいことはおいしいが、値段が高すぎる。
kono resutoran no syokuji wa oishii koto wa oishii ga, nedan ga takasugiru.
Although the food in this restaurant is delicious, the prices are too high."
くらい / ぐらい(kurai / gurai),approximately; about; around; to the extent ~,"Meaning 意味 approximately; about; around; to the extent ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese particles , suffix
How to use 使い方 Verb (casual form) くらい ぐらい Noun な-adjective + な い-adjective",jlpt_n3,,"どれくらい日本に住んでいますか？
dore kurai nihon ni sundeimasu ka?
How long have you been living in Japan?","どのぐらい練習したんですか？
dono gurai renshuu shitan desu ka?
About how long did you practice?","試験が難しくて、泣きたいくらいだ。
shiken ga muzukashikute, nakitai kurai da.
The test was so difficult, I felt like I wanted to cry.","お客様はどのぐらいいますか？
okyaku sama wa dono gurai imasu ka?
About how many customers are there?","家から駅まで自転車で20分ぐらいかかります。
ie kara eki made jitensha de nijuu pun gurai kakarimasu.
It takes about 20 minutes from my house to the station by bicycle."
くせに(kuse ni),and yet; though; in spite of; despite ~,"Meaning 意味 and yet; though; in spite of; despite ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (dictionary form) くせに Noun + の な-adjective + な い-adjective",jlpt_n3,,"背が高いくせに早く走れない。
se ga takai kuse ni hayaku hashirenai.
Despite being tall, he/she cannot run fast.","元気なくせに、病気のふりをしている。
genkina kuse ni, byouki no furi o shiteiru.
Although he is healthy, he is pretending to be sick.","医者でもないくせに。
isha demo nai kuse ni.
You aren't even a doctor (so don’t act like you are one).","彼女はお金持ちのくせにケチだ。
kanojo wa okane mochi no kuse ni kechi da.
Although she is rich, she is very frugal with her money.","田中さんはお母さんが日本人のくせに、日本語が全然分からない。
tanaka san wa okaasan ga nihonjin no kuse ni, nihongo ga zenzen wakaranai.
Although Tanaka's mother is Japanese, he doesn't understand any Japanese."
まるで(maru de),as if; as though; just like ~,"Meaning 意味 as if; as though; just like ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 まるで Verb (casual form) + よう Noun + のよう",jlpt_n3,,"合格した！まるで夢のようだ。
goukaku shita! marude yume no you da.
I passed! It’s like a dream!","すごい！まるで魔法のようだ！
sugoi! maru de mahou no you da!
Amazing! It's just like magic!","あの女の人は、美しくて、優しくて、まるで天使のようだ。
ano onna no hito wa, utsukushikute, yasashikute, marude tenshi no you da.
That lady is beautiful and kind like an angel.","彼の日本語はまるで日本人が話しているように聞こえる。
kare no nihongo wa marude nihonjin ga hanashite iru you ni kikoeru.
His Japanese is so natural that he sounds like a native speaker.","最近できたロボットは、まるで本物の人間のように動きます。
saikin dekita robotto wa, marude honmono no ningen no youni ugoki masu.
Recently made robots move just like real humans."
めったに～ない(metta ni~nai),hardly; rarely; seldom,"Meaning 意味 hardly; rarely; seldom
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ～ない , Japanese adverbs
How to use 使い方 めったに Verb (ない form) Noun + は めったにない Related Kanji 漢字 N1 Kanji: 滅 (metsu, horo(biru), horo(bu), horo(basu)) Meaning: destroy, ruin, overthrow, perish",jlpt_n3,,"彼はめったに本を読まない。
kare wa metta ni hon o yomanai.
He rarely reads books.","彼女はめったに遊びに来ない。
kanojo wa metta ni asobi ni konai.
She rarely comes to see me.","彼はめったに泣かない。
kare wa metta ni nakanai.
He rarely cries.","このところでは滅多に雪が降りません。
kono tokoro dewa metta ni yuki ga furimasen.
It rarely snows in this area.","忙しくて滅多に休みが取れない。
isogashi kute mettani yasumi ga torenai.
I’m so busy that I can hardly take time off work."
も～ば～も(mo~ba~mo),and; also; as well; either/or; neither/nor,"Meaning 意味 and; also; as well; either/or; neither/nor
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Noun-1 + も Verb（ば form) Noun-2 + も Noun + なら な-adj + なら い-adj + い ければ",jlpt_n3,,"本を読むのが好きな人もいれば、嫌いな人もいます。
hon o yomu no ga sukina hito mo ireba, kiraina hito mo imasu.
If there are people who like to read books, there will also be people who dislike it.","学生の態度もわるければ教師の態度もわるい。
gakusei no taido mo warukereba kyoushi no taido mo warui.
If the student's attitude is bad, then the teacher's attitude will also be bad.","人生は楽しいこともあれば、苦しいこともある。
jinsei wa tanoshii koto mo areba, kurushii koto mo aru.
In life, there are both ups and downs.","彼は日本語もできれば英語もできる。
kare wa nihongo mo dekireba eigo mo dekiru.
He can speak both English and Japanese.","あのメキシコ料理屋の食べ物は、値段も安ければ味もいいです。
ano mekishiko ryouriya no tabemono wa, nedan mo yasu kereba aji mo ii desu.
That Mexican restaurant has cheap prices and also the food tastes good."
もしかしたら~かもしれない,perhaps; maybe; perchance; by any chance ~,"Meaning 意味 perhaps; maybe; perchance; by any chance ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 もしかしたら もしかすると phrase + かもしれない",jlpt_n3,,"もしかしたら、明日行けないかもしれない。
moshika shitara, ashita ikenai kamo shirenai.
I might not be able to come tomorrow.","もしかしたら病気かもしれない。
moshika shitara byouki kamoshirenai.
I might be sick.","もしかしたら彼は気が変わるかもしれません。
moshika shitara kare wa ki ga kawaru kamoshire masen.
He might change his mind.","もしかすると彼の話はうそかもしれない。
moshika suruto kare no hanashi wa uso kamo shirenai.
It's possible his story may be a lie.","もしかするとあそこに座っている人は有名な人かもしれない。
moshika suruto asoko ni suwatte iru hito wa yuumei na hito kamo shirenai.
That person sitting there could be a celebrity."
もしも〜たら(moshimo~tara),if; in the case; supposing ~,"Meaning 意味 if; in the case; supposing ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs , Japanese conjunctions , Japanese particles
How to use 使い方 もしも Verb (た form) + ら",jlpt_n3,,"もしも明日は晴れたらピクニックに行きましょう。
moshimo ashita wa haretara pikunikku ni ikimashou.
If it's sunny tomorrow, let's go out for a picnic.","もしも日本に行けたら、大阪の友達に会いたいです。
moshimo nihon ni iketara, oosaka no tomodachi ni aitai desu.
If I could go to Japan, I would like to meet my friends in Osaka.","もしも試験を受けたら、合格したいです。
moshimo shiken o uketara, goukaku shitai desu.
In the case that I take the exam, I would like to pass.","もしも地震が起きたら、この家は丈夫だから倒れない。
moshimo jishin ga okitara, kono ie wa joubu da kara taorenai.
In the case that an earthquake happens, this house is strong and will not collapse.","もしも日本へ留学しなかったら、今ごろは結婚しているかもしれない。
moshimo nihon e ryuugaku shinakattara, imagoro wa kekkon shite iru kamo shirenai.
If I hadn't gone to study abroad in Japan, I might have been married by now."
向け(muke),intended for; aimed at ~,"Meaning 意味 intended for; aimed at ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: suffix
How to use 使い方 Noun 向け むけ Related Kanji 漢字 N3 Kanji: 向 (kou, mu(ku), muka(i)) Meaning: facing, beyond",jlpt_n3,,"初心者向けのコースがありますか。
shoshinsha muke no koosu ga arimasu ka.
Do you have a course for beginners?","この映画は子供向けなので、大人は見てもつまらない。
kono eiga wa kodomo muke nano de, otona wa mitemo tsumaranai.
That movie is targeted for children, so it will be boring for adults who watch it.","この家は、部屋が多くて、ファミリー向けだ。
kono ie wa, heya ga ookute, famirii muke da.
This house has a lot of rooms and is targeted towards families.","最近は、男性向けの料理教室が人気だ。
saikin wa dansei muke no ryouri kyoushitsu ga ninki da.
Lately, cooking classes for men are popular.","ピアノ初心者向けのいい曲を知りませんか。
piano shoshinsha muke no ii kyoku o shiri masen ka?
Do you know any good songs suitable for beginner piano players?"
向き(muki),suitable for ~,"Meaning 意味 suitable for ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: suffix
How to use 使い方 Noun 向き むき Related Kanji 漢字 N3 Kanji: 向 (kou, mu(ku), muka(i)) Meaning: facing, beyond",jlpt_n3,,"この本は初心者向きである。
kono hon wa shoshinsha muki de aru.
This book is suitable for beginners.","その映画は子供向きだ。
kono eiga wa kodomo muki da.
This movie is suitable for children.","このスキー場は初心者向きです。
kono sukii jou wa shoshinsha muki desu.
This ski resort is suitable for beginners.","このプレゼントは10歳の女の子向きだ。
kono purezento wa 10 sai no onna no ko muki da.
This present is suitable for a 10 year old girl.","若い女性向きの小説を書いています。
wakai josei muki no shousetsu o kaiteimasu.
I'm writing a short novel for young women."
ないと(naito),must do; unless/if you don't ~,"Meaning 意味 must do; unless/if you don't ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: expressing must do
How to use 使い方 Verb (ない form) と Noun + でない / じゃない な-adjective + でない / じゃない い-adjective + い くない",jlpt_n3,,"もう行かないと...
mou ikanai to.
I have to go now...","宿題をやらないと。
shukudai o yaranai to.
I have to do my homework.","もう暗くなって、帰らないと。
mou kuraku natte, kaeranai to.
It's already gotten dark, I need to head home.","早くしないと間に合わないよ。
hayaku shinai to maniawanai yo.
If you don't hurry, you won't make it in time.","早く寝ないと、明日起きられないよ。
hayaku nenai to, ashita okirarenai yo.
If you don't go to bed early, you won't be able to get up tomorrow."
なかなか(nakanaka),very; quite; pretty; rather; just not ~,"Meaning 意味 very; quite; pretty; rather; just not ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs
How to use 使い方 なかなか Verb Noun Adjective",jlpt_n3,,"なかなか面白そうです。
nakanaka omoshiro sou desu.
That sounds quite interesting.","彼はなかなか本を読む。
kare wa nakanaka hon o yomu.
He reads quite a lot of books.","この料理はなかなか美味しいですね。
kono ryouri wa nakanaka oishii desu ne.
This food is quite good.","彼らはなかなか手ごわい相手ですね。
karera wa nakanaka tegowai aite desu ne.
They are pretty tough opponents.","なかなかのドレスですね。君にとても似合うと思うよ。
nakanaka no doresu desu ne. kimi ni totemo niau to omou yo.
It's quite a nice dress, I think it suits you well."
なんか / なんて / など(nanka / nante / nado),give examples; show modesty; make light of ~,"Meaning 意味 give examples; show modesty; make light of ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese adverbs , Japanese particles
How to use 使い方 Noun なんか なんて など Related Kanji 漢字 N5 Kanji: 何 (nani) what",jlpt_n3,,"試験も近いし、テレビなど見ている暇はない。
shiken mo chikai shi, terebi nado miteiru hima wa nai.
Exams are close and I don't have time to do things like watch TV.","中国語やスペイン語など、仕事で役に立ちそうな外国語を勉強したいです。
chuugokugo ya supeingo nado, shigoto ni yaku ni tachi sou na gaikokugo o benkyou shitai desu.
I want to study foreign languages that would be useful for work, like Chinese or Spanish.","彼は私なんかよりすごい人だよ。
kare wa watashi nanka yori sugoi hito da yo.
He is a much better man than I am.","彼は私などには目もくれようとしないだろう。
kare wa watashi nado ni me mo kureyou to shinai darou.
He would never bother to notice (someone like) me.","カラオケなんか行きたくない
karaoke nanka ikitakunai
I don't really want to go to karaoke.."
なぜなら(nazenara),because; the reason is; if you want to know why,"Meaning 意味 because; the reason is; if you want to know why
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: Japanese conjunctions
How to use 使い方 Result なぜなら（ば） なぜかというと どうしてかというと reason",jlpt_n3,,"なぜなら彼は病気だったからです。
nazenara kare wa byouki datta kara desu.
The reason is because he was sick.","私は毎日本を読みます。なぜかというと、本が大好きだからです。
watashi wa mainichi hon o yomimasu. naze ka to iu to, hon ga daisuki dakara desu.
I read books everyday. The reason is because I love books.","買いたいけど買えません。なぜならばお金がないからです。
kaitai kedo kaemasen. naze naraba okane ga nai kara desu.
I want to buy it, but I cannot because I have no money.","学校を変えた。なぜなら、サッカー部がなかったからだ。
gakkou o kaeta. nazenara, sakkaa bu ga nakatta kara desu.
I changed schools because there was no soccer club at my old school.","来月、アメリカに帰る予定です。なぜなら、妹の結婚式に出席するからです。
raigetsu, kuni ni kaeru yotei desu. nazenara, imouto no kekkon shiki ni shusseki suru kara desu.
Next month I am going back to America because I will be attending my younger sister's wedding."
んだって(ndatte),I hear that; heard that ~,"Meaning 意味 I hear that; heard that ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Verb (casual) んだって んですって Noun + な な-adjective + な い-adjective",jlpt_n3,,"彼、彼女ができたんだって。
kare, kanojo ga dekita ndatte.
I heard he got a girlfriend.","知らないんだって。
shiranai nda tte.
They said that they did not know.","クリスさんがJLPTのN2合格したんだって。
kurisu san ga JLPT no N2 goukaku shita nda tte.
I heard that Chris passed the JLPT N2!","妹が結婚するんだって。
imouto ga kekkon suru ndatte.
I heard that my sister is going to get married.","この店のカレー、美味しいんだって。
kono mise no karee, oishii ndatte.
I heard that this restaurant’s curry is delicious."
に違いない(ni chigai nai),I’m sure/ certain; no doubt that ~,"Meaning 意味 I’m sure/ certain; no doubt that ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
Tags: ～ない
How to use 使い方 Verb (casual form) に違いない Noun な-adjective い-adjective Related Kanji 漢字 N3 Kanji: 違 (i, chigau) Meaning: difference, differ",jlpt_n3,,"それは痛いに違いない。
sore wa itai ni chigai nai.
I bet that hurts.","彼はまだ寝ているに違いない。
kare wa mada neteiru ni chigai nai.
I'm sure he's still sleeping.","トムさんは車を７台も持っているから、お金持ちに違いない。
tomu san wa kuruma o 7 dai mo motte iru kara, o kanemochi ni chigai nai.
Tom has 7 cars, so there's no doubt he's rich.","あのレストランはいつも人が多いから、人気があるに違いない。
ano resutoran wa itsumo hito ga ooii kara, ninki ga aru ni chigainai.
That restuarant is always full of people so it's definitely a popular place.","リサさんは３年も料理教室に通っているから、彼女の料理はきっと美味しいに違いない。
risa san wa 3 nen mo ryouri kyoushitsu ni kayotte iru kara, kanojo no ryouri wa kitto oishii ni chigainai.
Lisa has been going to cooking school for 3 years, so her food is surely delicious."
に反して(ni hanshite),against; contrary to; in contrast to ~,"Meaning 意味 against; contrary to; in contrast to ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Noun に反して に反する Related Kanji 漢字 N3 Kanji: 反 (han, hon, tan, ho, soru, kaesu) Meaning: anti-",jlpt_n3,,"彼の話は事実に反する。
kare no hanashi wa jijitsu ni hansuru.
What he has said is contrary to the facts.","予想に反して彼は成功した。
yosou ni hanshite kare wa seikou shita.
Contrary to my expectation, he succeeded.","社内でタバコを吸うのは社の規則に反する。
shanai de tabako o suu no wa sha no kisoku ni han suru.
Smoking in the office is against company rules.","予想に反して、試験はとても簡単だった。
yosou ni hanshite, shiken wa totemo kantan datta.
Contrary to my expectations, the test was very easy.","両親の期待に反して、彼は大学へ行かずアルバイトとして働いている。
ryoushin no kitai ni hanshite, kare wa daigaku e ikazu arubaito toshite hataraiteiru.
Contrary to the expectations of his parents, he is working a part-time job without going to University."
にかけて(ni kakete),over (a period); through; concerning; regarding ~,"Meaning 意味 over (a period); through; concerning; regarding ~
example sentences
vocabulary list
related grammar
Level: JLPT N3
How to use 使い方 Noun にかけて（は） にかけて（も）",jlpt_n3,,"テニスにかけては、彼に勝てる人はいない。
tenisu ni kakete wa, kare ni kateru hito wa inai.
There is no one who can beat him in tennis.","マンガにかけては、私より詳しい人はいません。
manga ni kakete wa, watashi yori kuwashii hito wa imasen.
Regarding manga, there is nobody who knows as much as I do.","私はギターにかけては誰よりも詳しい。
watashi wa gitaa ni kakete wa dare yori mo kuwashii.
I am more knowledgeable about guitar than anyone.","弟は勉強はできないが、泳ぎにかけては誰にも負けない。
otouto wa benkyou wa dekinai ga, oyogi ni kaketewa dare nimo makenai.
Though my little brother’s not good at studying, he won’t lose to anyone at swimming.","漢字の知識にかけては誰にも負けない自信がある。
kanji no chishiki ni kakete wa dare nimo makenai jishin ga aru.
I have confidence that I won't lose to anyone regarding knowledge of kanji."
