japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
羽目になる(hame ni naru),to get stuck with; to end up with (something unpleasant),"Meaning 意味 to get stuck with; to end up with (something unpleasant)
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary) 羽目になる ハメになる Related Kanji 漢字 N2 Kanji: 羽 (u, ha, wa, hane) Meaning: feathers; counter for birds N4 Kanji: 目 (moku, me) eye",jlpt_n1,,"私は歩く時に転んで、入院する羽目になった。
watashi wa aruku toki ni koronde, nyuuin suru hame ni natta.
I fell while walking and ended up being hospitalized.","授業をサボりすぎたので、試験前は徹夜する羽目になりそうだ。
jugyou o sabori sugita node, shiken mae wa tetsuya suru hame ni nari sou da.
Because I skipped class too much, It looks like I will end up staying up all night the day before the exam.","急いで家を飛び出して、傘を忘れたので、結局戻る羽目になった。
isoide ie o tobidashite, kasa o wasureta node, kekkyoku modoru hame ni natta.
I hurried out of the house and forgot my umbrella, so I ended up having to go back to get it.","冬に暖かい格好をしないと,ひどい風邪をひく羽目になる。
fuyu ni attakai kakkou o shinai to, hidoi kaze o hiku hame ni naru.
If you don't dress warmly in winter, you will end up catching a bad cold.","うっかりしてデータを消してしまったので、もう一度入力する羽目になった。
ukkari shite deeta o keshite shimatta node, mou ichido nyuuryoku suru hame ni natta.
I accidentally deleted the data so I had to input it all in again."
ほどのことではない(hodo no koto dewa nai),it's not worth; no need to ~,"Meaning 意味 it's not worth; no need to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: こと expressions
How to use 使い方 Verb (dictionary) ほどのことではない Related Kanji 漢字 N3 Kanji: 程 (tei, hodo) Meaning: extent, degree",jlpt_n1,,"それは悲しむほどのことではない。
sore wa kanashimu hodo no koto dewa nai.
That isn't anything to be sad over.","もっとも気にする程のことではないが。
mottomo ki ni suru hodo no koto dewa nai ga.
You needn't let it worry you, though.","ちょっと転んで、怪我をしただけなので、病院に行くほどのことではない。
chotto koronde, kega o shita dake na node, byouin ni iku hodo no koto dewa nai.
I just fell and got a little hurt so I don't need to go to the hospital.","これは初級の文法だから、説明するほどのことではないですね？
kore wa shokyuu no bunpou da kara, setsumei suru hodo no koto dewa nai desu ne?
This is grammar for beginners, so there's no need to explain, right?","この話は人に隠れてお話しするほどのことではないと思います。
kono hanashi wa hito ni kakurete ohanashi suru hodo no koto dewa nai to omoimasu.
I think this story is not something that needs to be said in secret."
ほうがましだ(hou ga mashi da),better than; would rather ~,"Meaning 意味 better than; would rather ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual form) ほうがましだ Noun + の",jlpt_n1,,"あなたと結婚するくらいなら、独身のほうがましだ。
anata to kekkon suru kurai nara, dokushin no hou ga mashida.
It's better to be single than to marry you.","ギャンブルに金を浪費するなら捨てたほうがましだ。
gyanburu ni kin o rouhi suru nara suteta hou ga mashida.
I would rather throw my money away than waste it on gambling.","途中でやめるぐらいなら始めからやらないほうがましだ。
tochuu de yameru gurai nara hajime kara yaranai hou ga mashida.
If you're going to give up halfway, it's better to not start at all.","そんな雑誌を読むくらいなら、昼寝をするほうがましだよ。
sonna zasshi o yomu kurai nara, hirune o suru hou ga mashida yo.
It's better to take a nap than to read such a magazine.","こんな天気の中を出かけるよりは、家にいるほうがましだ。
konna tenki no naka o dekakeru yori wa, ie ni iru hou ga mashida.
It's better to stay at home than to go out in this weather."
いかんにかかわらず / いかんによらず / いかんをとわず(ikan ni kakawarazu / ikan ni yorazu / ikan o towazu),regardless of; whether or not; doesn't matter whether ~,"Meaning 意味 regardless of; whether or not; doesn't matter whether ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun +（の） いかんにかかわらず いかんによらず いかんをとわず",jlpt_n1,,"理由のいかんにかかわらず、ここに駐車をしてはいけない。
riyuu no ikan ni kakawarazu, koko ni chuusha o shite wa ikenai.
Do not park here for any reason.","天気のいかんにかかわらず、開会式は予定通り行います。
tenki no ikan ni kakawarazu, kaikaishiki wa yotei doori ni okonaimasu.
The opening ceremony will be held as scheduled regardless of the weather.","学歴や年齢のいかんを問わず、どなたでも応募することが可能です。
gakureki ya nenrei no ikan o towazu, donata demo oubo suru koto ga kanou desu.
Anyone can apply regardless of educational background or age.","事情のいかんによらず、遅刻をすれば大学の受験に参加できない。
jijou no ikan ni yorazu, chikoku o sureba daigaku no juken ni sanka dekinai.
Regardless of the circumstances, if you are late, you will not be able to participate in the university entrance examination.","この講義は専攻のいかんにかかわらず、全員受けてください。
kono kougi wa senkou no ikan ni kakawarazu, zenin ukete kudasai.
All students should take this lecture regardless of their major."
いかに(ikani),how; in what way; how much; to what extent,"Meaning 意味 how; in what way; how much; to what extent
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs
How to use 使い方 いかに Verb Noun Adjective",jlpt_n1,,"これがいかに難しいかわかり始めている。
kore ga ikani muzukashii ka wakari hajimete iru.
I'm starting to see how difficult this is.","この会合がいかに重要かを彼は全然わかっていない。
kono kaigou ga ikani juuyou ka o kare wa zenzen wakatte inai.
He has no idea how important this meeting is.","彼女の顔を見れば彼女がいかに幸せかがわかった。
kanojo no kao o mireba kanojo ga ikani shiawase ka ga wakatta.
Looking at her face showed how happy she was.","彼は法を守ることはいかに大切かを指摘した。
kare wa hou o mamoru koto wa ikani taisetsu ka o shiteki shita.
He pointed out how important it is to uphold the law.","あの人は君の目にいかに映じたか。
ano hito wa kimi no me ni ikani eijita ka.
How has he impressed you?"
いずれにしても / いずれにしろ / いずれにせよ(izure ni shitemo / izure ni shiro / izure ni seyo),anyhow; anyway; either way; in any case ~,"Meaning 意味 anyhow; anyway; either way; in any case ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 いずれにしても sentence いずれにしろ いずれにせよ",jlpt_n1,,"いずれにしてもスケジュールは変更できない。
izure ni shitemo sukejuuru wa henkou dekinai.
At any rate, we can't change the schedule.","リスクは低いが、いずれにしても気を付けるに越したことはない。
risuku wa hikui ga, izure ni shitemo ki o tsukeru ni koshita koto wa nai.
The risk is low, but anyway it's best to be careful.","いずれにしても、支店長とよく話し合って進めてください。
izure ni shitemo, shitenchou to yoku hanashiatte susumete kudasai.
In any case, please discuss it with the branch manager and proceed.","いずれにしろ、明日は列車に乗りなさい。
izure ni shiro, ashita wa ressha ni nori nasai.
In any case, please take the train tomorrow.","いずれにせよ彼が来たら、あなたにお知らせします。
izure ni seyo kare ga kitara, anata ni oshirase shimasu.
Anyway, I'll let you know when he comes."
か否か(ka ina ka),whether or not ~,"Meaning 意味 whether or not ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) か否か Noun + である な-adjective + である い-adjective Related Kanji 漢字 N3 Kanji: 否 (hi, ina, iya) Meaning: negate, no, decline",jlpt_n1,,"私にはそれが真実か否かが分からない。
watashi ni wa sore ga shinjitsu ka ina ka ga wakaranai.
I don't know whether that is true or not.","彼が成功するか否かは、彼の努力次第だ。
kare ga seikou suru ka ina ka wa, kare no doryoku shidai da.
Whether he succeeds or not depends on his efforts.","自分の日本語が皆さんに理解されるか否か不安だ。
jibun no nihongo ga minasan ni rikai sareru ka ina ka fuan da.
I'm worried whether or not my Japanese will be understood by everyone.","ダイエット中だけどケーキを食べるか否か迷っている。
daietto chuu dakedo keeki o taberu ka ina ka mayotteiru.
I'm on a diet now and am struggling with whether or not I should eat cake.","私たちは彼が必要であるか否か判断します。
watashitachi wa kare ga hitsuyou dearu ka ina ka handan shimasu.
We will decide whether he is necessary or not."
かと思いきや(ka to omoikiya),"contrary to expectations; or so we thought, but ~","Meaning 意味 contrary to expectations; or so we thought, but ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (casual form) （か）と思いきや Noun + (だ) な-adjective + (だ) い-adjective + い Related Kanji 漢字 N4 Kanji: 思 (shi, omoi) think",jlpt_n1,,"今日は一日中晴れると思いきや、午後からざあざあ降りになった。
kyou wa ichinichijuu hareru to omoikiya, gogo kara zaazaa furi ni natta.
I thought it would be sunny all day today, but it started to rain in the afternoon.","この映画はホラーかと思いきや、実はコメディ映画だった。
kono eiga wa horaa ka to omoikiya, jitsu wa komedi eiga datta.
I thought this movie was a horror movie, but it was actually a comedy movie.","宝くじに当たったかと思いきや、番号を見間違えてしまった。
takarakuji ni atatta ka to omoikiya, bangou o mimachigaete shimatta.
I thought I won the lottery, but I had read the number wrong..","やっと富士山の頂上に着いたと思いきや、まだ8合目だった。
yatto fujisan no choujou ni tsuita to omoikiya, mada hachi goume datta.
I thought I had finally reached the peak of Mt. Fuji, but then realized I was still only at the 8th aid station.","やっと道路工事が終ったので、これからは静かになるだろうと思いきや、別の工事が始まった。
yatto douro kouji ga owatta node, kore kara wa shizuka ni naru darou to omoikiya, betsu no kouji ga hajimatta.
Finally the road construction ended and I thought it would be quiet from now on, but another construction started."
かたがた(katagata),while; at the same time; incidentally; for the purpose of ~,"Meaning 意味 while; at the same time; incidentally; for the purpose of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese adverbs , Japanese conjunctions
How to use 使い方 Noun かたがた",jlpt_n1,,"本日はお礼かたがたお伺いました。
honjitsu wa orei katagata o ukagaimashita.
I came today to show my gratitude.","近くまで来ましたので、ご挨拶かたがたお伺いしました。
chikaku made kimashita node, go aisatsu katagata o ukagai shimashita.
I was nearby and so I came to visit.","ご挨拶かたがた、一言お礼を述べさせていただきます。
go aisatsu katagata, hitokoto orei o nobe sasete itadakimasu.
During this greeting I would like to say a few words of thanks.","同僚が怪我で２週間休むそうなので、お見舞いかたがた家を訪ねることにした。
douryou ga kega de 2 shuukan yasumu sou na node, o mimai katagata ie o tazuneru koto ni shita.
My colleague seems to be taking a rest for two weeks due to an injury, so I decided to visit his house.","叔母が体調を崩したと聞いたので、見舞いかたがた手伝いに行った。
oba ga taichou o kuzushita to kiita node, mimai katagata tetsudai ni itta.
I heard that my aunt was sick, so I assisted her when I went to visit."
嫌いがある(kirai ga aru),bad habit; to have a tendency to ~,"Meaning 意味 bad habit; to have a tendency to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual form) 嫌いがある Noun + の Related Kanji 漢字 N1 Kanji: 嫌 (ken, gen, kira(i), iya) Meaning: dislike, detest, hate",jlpt_n1,,"彼は物事を少しすぎる嫌いがある。
kare wa monogoto o sukoshi sugiru kirai ga aru.
He tends to take things too seriously.","彼女は面接の時に緊張する嫌いがある。
kanojo wa mensetsu no toki ni kinchou suru kirai ga aru.
She has a bad habit of getting nervous during an interview.","この頃の若者は協調性に欠ける嫌いがある。
kono goro no wakamono wa kyouchousei ni kakeru kirai ga aru.
Young people these days tend to lack the ability to work well with others.","最近の子供はスマホやゲームの影響で夜遅くまで起きる嫌いがある。
saikin no kodomo wa sumaho ya geemu no eikyou de yoruosoku made okiru kirai ga aru.
Children these days tend to stay up late into the night due to the effects of playing games or using smartphones.","うちの部長は自分と違う考え方を認めようとしない嫌いがある。
uchi no buchou wa jibun to chigau kangaekata o mitomeyou to shinai kirai ga aru.
My manager tends to refuse to accept opinions different from their own."
極まる / 極まりない(kiwamaru / kiwamarinai),extremely; very ~,"Meaning 意味 extremely; very ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 な-adjective + な 極まる な-adjective + (なこと) 極まりない い-adjective + いこと Related Kanji 漢字 N2 Kanji: 極 (kyoku, goku, kiwameru) Meaning: poles; settlement; conclusion; end",jlpt_n1,,"彼の態度は失礼極まる。
kare no taido wa shitsurei kiwamaru.
His attitude is extremely rude.","その景色は美しいこと極まりないものだった。
sono keshiki wa utsukushii koto kiwamarinai mono datta.
That scenery was extremely beautiful.","昨日見た映画は、平凡極まる内容だった。
kinou mita eiga wa, heibon kiwamaru naiyou datta.
The movie I watched yesterday was very mediocre.","あの人は社長として、無責任極まりない。
ano hito wa shachou toshite, musekinin kiwamarinai.
As president, that person is extremely irresponsible.","私が書いた文章には誤字が多く、恥ずかしいこと極まりない。
watashi ga kaita bunshou ni wa goji ga ooku, hazukashii koto kiwamarinai.
There are many mistakes in my essay, it is very embarrassing."
こそすれ(koso sure),and; although; but ~,"Meaning 意味 and; although; but ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Noun こそすれ + Point 2 Verb ます (stem form)",jlpt_n1,,"勝ちこそすれ決して負けません。
kachi koso sure kesshite makemasen.
I may win, but I shall never lose.","白髪は普通増えこそすれ、減ることはない。
shiraga wa futsuu fue koso sure, heru koto wa nai.
Gray hair never decreases, it only increases.","君のやったことは、褒められこそすれ、非難されるものではない。
kimi no yatta koto wa, homerare koso sure, hinan sareru mono dewa nai.
What you've done is praiseworthy and should not be criticized.","あの商品の価額が上がりこそすれ、下がることは決してない。
ano shouhin no kagaku ga agari koso sure, sagaru koto wa kesshite nai.
The price of that product will only go up.","あなたには感謝こそすれ、恨んでなどいません。
anata ni wa kansha koso sure, urande nado imasen.
I appreciate everything you've done and have no ill feelings."
ことこの上ない / この上ない / この上なく(koto kono ue nai / kono ue nai / kono ue naku),the most of all; the best; nothing is more ... than ~,"Meaning 意味 the most of all; the best; nothing is more ... than ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: ～ない , こと expressions
How to use 使い方 この上ない Noun この上なく な-adjective い-adjective な-adjective + な/である ことこの上ない い-adjective + い",jlpt_n1,,"この上なく幸せだ。
kono ue naku shiawase da.
I have never been happier.","私はそれがこの上なく好きです。
watashi wa sore ga kono ue naku suki desu.
I like that the most.","子猫は可愛いことこの上ないものだ。
koneko wa kawaii koto kono ue nai mono da.
There's nothing cuter than a kitten.","N１の文法は複雑なことこの上ない。
N１のぶんぽうはふくざつなことこのうえない。
N1 no bunpou wa fukuzatsuna koto kono ue nai.","おばあちゃんが亡くなって、この上ない悲しさを味わった。
obaachan ga nakunatte, kono ue nai kanashisa o ajiwatta.
My grandmother passed away and I felt the utmost sadness."
こともあって(koto mo atte),partly because; also because of; plus the reason for ~,"Meaning 意味 partly because; also because of; plus the reason for ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: こと expressions
How to use 使い方 Verb (casual) こともあって Noun + という な-adjective い-adjective",jlpt_n1,,"今日は天気がいいこともあって、公園にたくさん人が来ている。
kyou wa tenki ga ii koto mo atte, kouen ni takusan hito ga kite iru.
Many people are coming to the park today, partly because of the good weather.","ちょうど受験前ということもあって、息子はピリピリしている。
choudo juken mae toiu koto mo atte, musuko wa piripiri shite iru.
Partly because the exam is coming up, my son is very nervous.","昨日は初めて会議の司会ということもあって、とても緊張した。
kinou wa hajimete kaigi no shikai toiu koto mo atte, totemo kinchou shita.
I was very nervous yesterday, partly because I was the host of the meeting for the first time.","彼女は英語ができることもあって、外国人の友達も多い。
kanojo wa eigo ga dekiru koto mo atte, gaikoku hito no tomodachi mo ooi.
She can speak English among other things and has many foreign friends.","脚本があまりよくなかったこともあって、このドラマの視聴率は低かった。
kyakuhon ga amari yokunakatta koto mo atte, kono dorama no shichou ritsu wa hikukatta.
The audience rating of this drama was low, partly because the script was not very good."
ことなしに(koto nashi ni),without doing something,"Meaning 意味 without doing something
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: without , こと expressions
How to use 使い方 Verb (dictionary form) ことなしに（は）",jlpt_n1,,"今日は朝食を食べることなしに学校へ行った 。
kyou wa choushoku o taberu koto nashi ni gakkou e itta.
I went to school without eating breakfast.","努力することなしにN１に合格はできない。
doryoku suru koto nashi ni N1 ni goukaku wa dekinai.
One cannot pass the N1 without putting in the hard work.","教えられることなしにできるようになる。
oshierareru koto nashi ni dekiru you ni naru.
They learn to do without being taught.","今の状況を知ることなしに、未来を予測することはできません。
ima no joukyo o shiru koto nashi ni, mirai o yosoku suru koto wa dekimasenn.
Without knowing the present situation, we will not be able to predict what will happen in the future.","他人に迷惑をかけることなしには、生きてはいけない。
tanin ni meiwaku o kakeru koto nashi ni wa, ikite wa ikenai.
You can't go through life without causing problems for others."
ことのないように(koto no nai you ni),so as not to; to not ~,"Meaning 意味 so as not to; to not ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: こと expressions , よう expressions
How to use 使い方 Verb (dictionary form) ことのないよう（に） ことがないよう（に）",jlpt_n1,,"道に迷うことのないように、グーグルマップで場所を確かめておいた。
michi ni mayou koto no nai you ni, guuguru mappu de basho o tashikamete oita.
In order to not get lost, I checked the location on Google Maps.","読書で目を使い過ぎることのないようにしなさい。
dokusho de me o tsukai sugiru koto no nai you ni shinasai.
Make sure you don't overwork your eyes by reading too much.","思い残すことのないように、今を全力で生きる。
omoinokosu koto no nai you ni, ima o zenryoku de ikiru.
In order to not have any regrets, I live now to the fullest.","災害が来ても慌てることのないよう、日頃から準備しておこう。
saigai ga kitemo awateru koto no nai you, higoro kara junbi shite okou.
We should be more generally prepared for a disaster so that we do not panic when it happens.","二度とこのような事故が起きることのないよう、安全対策を講じます。
nidoto kono you na jiko ga okiru koto no nai you, anzen taisaku o koujimasu.
We will come up with a safety strategy to ensure that this kind of accident never happens again."
までだ / までのことだ(made da / made no koto da),only; just; nothing else,"Meaning 意味 only; just; nothing else
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) まで（のこと）だ それ までだ これ",jlpt_n1,,"ちょっと聞いてみたまでだ。
chotto kiite mita made da.
I just wanted to ask (there's nothing else to it)","この値段まで安くしてくれないなら、今回の契約をキャンセルするまでのことだ。
kono nedan made yasuku shite kurenai nara, konkai no keiyaku o kyanseru suru made no koto da.
If you won't lower the price, then I will just cancel the next contract.","誰も手伝ってくれないのなら、自分一人でやるまでのことです。
dare mo tetsudatte kurenai no nara, jibun hitori de yaru made no koto desu.
If no one is willing to help you, then you can just do it by yourself.","給料が下がるなら、会社を辞めるまでです。
kyuuryou ga sagaru nara, kaisha o yameru made desu.
If my salary is just going to get lower, I have no choice but to quit.","妻が反対だと言えば、諦めるまでです。
tsuma ga hantai da to ieba, akirameru made desu.
If my wife is going to disagree, then I'll have no choice but to give up."
までもない / までもなく(made mo nai / made mo naku),there's no need to; it’s not necessary to ~,"Meaning 意味 there's no need to; it’s not necessary to ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) までもない までもなく",jlpt_n1,,"それは問題にするまでもないことだ。
sore wa mondai suru made mo nai koto da.
This is not even a problem worth mentioning.","アメリカが広いということは、言うまでもない。
amerika ga hiroi to iu koto wa, iu made mo nai.
It goes without saying that America is a very large country.","アルコール検査をするまでもなく、彼が酔っ払っていることは明白だ。
arukouru kensa o suru made mo naku, kare ga yopparatte iru koto wa meihaku da.
We don't need a breath alcohol test to know, he is obviously drunk.","その件については、部長に許可を取るまでもない。
sono ken ni tsuite wa, buchou ni kyoka o toru made mo nai.
Regarding this topic, there's no need to get approval from the department head.","この病気は軽度ですから、手術するまでもありません。
kono byouki wa keido desu kara, shujutsu suru made mo arimasen.
The disease is mild and does not require surgery."
まじき(majiki),should not; must not ~,"Meaning 意味 should not; must not ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dictionary form) まじき Noun + にある/としてある",jlpt_n1,,"生徒に暴力を振るなんて、先生としてあるまじき行為だ。
seito ni bouryoku o furu nante, sensei to shite aru majiki koui da.
Violence against students is something a teacher absolutely should not do","他の人の案を盗むなんて許すまじきことだ。
hoka no hito no an o nusumu nante yurusu majiki koto da.
Stealing someone else's ideas is an unforgivable behavior.","彼のやったことは、人としてあるまじき残酷な行為だ。
kare no yatta koto wa, hito toshite aru majiki zankoku na koui da.
What he did was a cruel and unacceptable action for a human being.","試験中にカンニングのような許すまじき行為をする人は０点にします。
shikenchuu ni kanningu no youna yurusu majiki koii o suru hito wa 0 ten ni shimasu.
Those who do unforgivable acts such as cheating during the exam will be given 0 points.","学生を恐喝するとは、教師にあるまじき行為だ。
gakusei o kyoukatsu suru to wa, kyoushi ni aru majiki koui da.
It is totally unacceptable for a teacher to blackmail students."
まくる(makuru),to do over and over again; to do relentlessly,"Meaning 意味 to do over and over again; to do relentlessly
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (ます stem) ます まくる",jlpt_n1,,"彼は日曜日なのに仕事をしまくっていた。
kare wa nichiyoubi na noni shigoto o shi makutte ita.
Even though it's Sunday, he just keeps working nonstop.","漢字を書きまくって覚える。
kanji o kaki makutte oboeru.
To memorize kanji by just writing them repeatedly.","日本旅行で、友達と写真を撮りまくった。
nihon ryokou de, tomodachi to shashin o tori makutta.
I constantly took pictures with my friends on my trip to Japan.","明日、日本語の試験なので１日勉強しまくった。
ashita, nihongo no shiken nano de ichinichi benkyou shi makutta.
I have a Japanese exam tomorrow so I studied hard all day long.","仕事でミスしまくって、散々上司に怒られた。
shigoto de misu shi makutte, sanzan joushi ni okorareta.
I made a lot of mistakes at work and my boss got angry at me."
まみれ(mamire),covered with; stained; smeared with ~,"Meaning 意味 covered with; stained; smeared with ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun まみれ",jlpt_n1,,"彼は汗まみれだった。
kare wa ase mamire datta.
He was drenched in sweat.","息子が泥まみれになって帰って来た。
musuko ga doro mamire ni natte kaette kita.
My son came home covered in mud.","彼の袖が油まみれのなべに触れた。
kare no sode ga abura mamire no nabe ni fureta.
His sleeve touched the greasy pan.","ビーチへ行ったとき、砂まみれになって遊んだ。
biichi e itta toki, suna mamire ni natte asonda.
When I went to the beach, I got covered in sand while playing around.","彼女は汗まみれになって、一生懸命バレーボールの練習をしている。
kanojo wa ase mamire ninatte, isshoukenmei bareebooru no renshuu o shiteiru.
She's completely drenched in sweat, giving her all in volleyball practice."
めく(meku),seems; show signs of; to have the appearance of ~,"Meaning 意味 seems; show signs of; to have the appearance of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun めく めいて めいた",jlpt_n1,,"暑くなって、ずいぶん夏めいてきましたね。
atsuku natte, zuibun natsu meite kimashita ne.
The weather is getting hotter, it seems that summer is here.","あの人はもう二十歳なのに、子供めいた行動がよくします。
ano hito wa mou hatachi na noni, kodomo meita koudou ga yoku shimasu.
Even though he is 20 years old, he often behaves like a child.","あの子はまだ中学校の一年生なのに、よく大人めいた服を着ます。
ano ko wa mada chuugakkou no ichinensei na noni, yoku otona meita fuku o kimasu.
Even though that kid is still in the first year of junior high school, they often wear mature clothes.","彼はどこか謎めいた雰囲気があり、女性に人気がある。
kare wa doko ka nazo meita funiki ga ari, josei ni ninki ga aru.
He has a mysterious atmosphere and is popular with women.","先生の皮肉めいた言い方を、生徒は不快に感じている 。
sensei no hiniku meita iikata o, seito wa fukai ni kanjite iru.
It seems that the students feel uncomfortable because of the teacher's sarcastic way of speaking."
もので(mono de),because; for that reason,"Meaning 意味 because; for that reason
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions , Japanese particles
How to use 使い方 Verb (casual) もので",jlpt_n1,,"朝寝坊したもので、授業に遅刻してしまいました。
asanebou shita mono de, jugyou ni chikoku shite shimai mashita.
I overslept in the morning and was late for class.","日本語ができないもので、日本での生活は大変でした。
nihongo ga dekinai mono de, nihon de no seikatsu wa taihen deshita.
I couldn't speak Japanese, so life in Japan was difficult.","子どもが病気になったもので、一週間の休みを取った。
kodomo ga byouki ni natta mono de, isshuukan no yasumi o totta.
My child got sick and took a week off.","ごめんなさい！出張したもので、すぐにあなたのメールを返事できませんでした。
gomennasai! shucchou shita mono de, sugu ni anata no meeru o henji dekimasen deshita.
I'm sorry! I was on a business trip and couldn't reply to your email right away.","最近、日本語を使わなかったもので、レベルが落ちた。
saikin, nihongo o tsukawanakatta mono de, reberu ga ochita.
Recently, I haven't used Japanese, so my level dropped."
ものを(mono o),if only; I wish; I'm sorry it's not actually (regret),"Meaning 意味 if only; I wish; I'm sorry it's not actually (regret)
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) ものを な-adjective い-adjective + い",jlpt_n1,,"お金が無いなら、言ってくれたらよかったものを。
okane ga nai nara, itte kuretara yokatta mono o.
I wish you had told me you didn't have any money.","ちょっと知らせてくれたらいいものを。
chotto shirasete kuretara ii mono o.
I wish you had notified me.","黙っていればいいものを、つい余計なことを言ってしまった。
damatte ireba ii mono o, tsui yokei na koto o itte shimatta.
I ended up saying something unnecessary and regret not keeping my mouth shut.","もう少し頑張れば合格するものを、惜しかったね。
mou sukoshi ganbareba goukaku suru mono o, oshikattane.
If only you worked a little harder, you would've passed. You were really close.","やればできるものを、なんでやらないの？
yareba dekiru mono o, nande yaranai no?
If only you tried you could do it, so why don't you?"
んばかりに(n bakari ni),as if; as though ~,"Meaning 意味 as if; as though ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: ばかり expressions
How to use 使い方 Verb (ない root) ない んばかり（に） んばかりの + Noun Exception : しない -> せん",jlpt_n1,,"川の水が溢れんばかりになっている。
kawa no mizu ga afuren bakari ni natte iru.
The river is about to flood.","彼女は泣き出さんばかりの顔をして、私に助けを求めてきた。
kanojo wa naki dasan bakari no kao o shite, watashi ni tasuke o motomete kita.
She came to me for help looking as though she was about to cry.","行きたかった大学に合格した息子は、飛び上がらんばかりに喜んでいた。
ikitakatta daigaku ni goukaku shita musuko wa, tobiagaran bakari ni yorokonde ita.
My son passed the entrance exam to his target university. He was as happy as if he could fly.","絶対に許さないと言わんばかりの顔で睨んでいる。
zettai ni yurusanai to iwan bakari no kao de nirande iru.
He glared with an expression as if to say that he would absolutely not forgive them.","彼女のスピーチが終わると、割れんばかりの拍手が沸き起こった。
kanojo no supiichi ga owaru to, waren bakari no hakushu ga wakiokotta.
After her speech ended, the sound of the applause sounded like it was about to break the entire hall."
ないまでも(nai made mo),not to say; although it does not reach the level of ~,"Meaning 意味 not to say; although it does not reach the level of ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (ない form) までも",jlpt_n1,,"暑いと言わないまでも、暖かい。
atsui to iwanai made mo, atatakai.
It's not enough to say it's hot, but it is warm.","彼女はけちとは言わないまでも、とてもつましい。
kanojo wa kechi to wa iwanai made mo, totemo tsumashii.
She is very frugal, not to say stingy.","電話をしないまでもメッセージぐらいをしてください。
denwa o shinai made mo messeeji gurai o shite kudasai.
You don't need to call, but at least send a message.","プロになれないまでも、サイクリングのレースに出るつもりだ。
puro ni nare nai made mo, saikuringu no reesu ni deru tsumori da.
Although I cannot become a pro, I plan to enter more cycling races.","毎月帰ってこいとは言わないまでも、たまには顔を見せて欲しい。
maitsuki kaette koi to wa iwanai made mo, tama ni wa kao o misete hoshii.
I'm not telling you to come home every month, but at least I would like to see your face every once in a while."
